DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.10925,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.17025,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,32,-2,PASS,4,0.617125,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,1.04821,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,51,12,FAIL,4,2.50983,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,1.39308,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,85,46,FAIL,4,11.3594,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,162,123,FAIL,4,89.5688,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,162,101,FAIL,4,78.6377,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,168,105,FAIL,4,79.0274,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,300,215,FAIL,4,446.257,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,504,419,FAIL,4,2088.81,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,92,11,FAIL,4,9.81513,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,87,42,FAIL,4,11.6976,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,174,77,FAIL,4,79.8721,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,204,128,FAIL,4,138.485,CHECKER_PASS
random1_4type_uniform,91,906,815,FAIL,4,12811.5,CHECKER_PASS
random2_4type_uniform,85,912,827,FAIL,4,12971.3,CHECKER_PASS
random3_4type_uniform,109,1212,1103,FAIL,4,30199.2,CHECKER_PASS
random4_4type_uniform,81,1362,1281,FAIL,4,42563.9,CHECKER_PASS
random5_4type_uniform,88,1812,1724,FAIL,4,102177.0,CHECKER_PASS
random6_4type_uniform,91,2718,2627,FAIL,4,333323.0,CHECKER_PASS
random7_4type_uniform,99,3012,2913,FAIL,4,457396.0,CHECKER_PASS
