DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_invdelay,8,12,4,FAIL,3,0.058166,CHECKER_PASS
hal_4type_invdelay,21,17,-4,PASS,4,0.020375,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.025,CHECKER_PASS
arf_4type_invdelay,43,34,-9,PASS,4,0.057708,CHECKER_PASS
motion_vectors_dfg__7_4type_invdelay,25,30,5,FAIL,4,0.07175,CHECKER_PASS
ewf_4type_invdelay,61,45,-16,PASS,4,0.075291,CHECKER_PASS
feedback_points_dfg__7_4type_invdelay,30,39,9,FAIL,4,0.136625,CHECKER_PASS
write_bmp_header_dfg__7_4type_invdelay,28,66,38,FAIL,4,0.505958,CHECKER_PASS
interpolate_aux_dfg__12_4type_invdelay,34,68,34,FAIL,4,1.81088,CHECKER_PASS
matmul_dfg__3_4type_invdelay,43,68,25,FAIL,4,0.687625,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_invdelay,55,119,64,FAIL,4,2.82383,CHECKER_PASS
invert_matrix_general_dfg__3_4type_invdelay,69,199,130,FAIL,4,6.65329,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,0.155084,CHECKER_PASS
collapse_pyr_dfg__113_4type_invdelay,31,35,4,FAIL,4,0.178083,CHECKER_PASS
idctcol_dfg__3_4type_invdelay,67,75,8,FAIL,4,0.629833,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_invdelay,52,81,29,FAIL,4,0.742417,CHECKER_PASS
random1_4type_invdelay,60,362,302,FAIL,4,54.6758,CHECKER_PASS
random2_4type_invdelay,63,363,300,FAIL,4,44.0181,CHECKER_PASS
random3_4type_invdelay,70,477,407,FAIL,4,82.4627,CHECKER_PASS
random4_4type_invdelay,54,536,482,FAIL,4,101.738,CHECKER_PASS
random5_4type_invdelay,67,711,644,FAIL,4,212.694,CHECKER_PASS
random6_4type_invdelay,61,1068,1007,FAIL,4,539.166,CHECKER_PASS
random7_4type_invdelay,72,1186,1114,FAIL,4,801.287,CHECKER_PASS
