DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_invdelay,8,11,3,FAIL,3,0.319709,CHECKER_PASS
hal_4type_invdelay,21,17,-4,PASS,4,0.26975,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.210875,CHECKER_PASS
arf_4type_invdelay,43,34,-9,PASS,4,0.560208,CHECKER_PASS
motion_vectors_dfg__7_4type_invdelay,25,30,5,FAIL,4,2.21396,CHECKER_PASS
ewf_4type_invdelay,61,45,-16,PASS,4,1.02763,CHECKER_PASS
feedback_points_dfg__7_4type_invdelay,30,39,9,FAIL,4,3.37787,CHECKER_PASS
write_bmp_header_dfg__7_4type_invdelay,28,66,38,FAIL,4,41.4532,CHECKER_PASS
interpolate_aux_dfg__12_4type_invdelay,34,70,36,FAIL,4,24.1458,CHECKER_PASS
matmul_dfg__3_4type_invdelay,43,71,28,FAIL,4,20.1925,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_invdelay,55,127,72,FAIL,4,92.2358,CHECKER_PASS
invert_matrix_general_dfg__3_4type_invdelay,69,204,135,FAIL,4,401.137,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,3.24217,CHECKER_PASS
collapse_pyr_dfg__113_4type_invdelay,31,40,9,FAIL,4,4.14633,CHECKER_PASS
idctcol_dfg__3_4type_invdelay,67,82,15,FAIL,4,28.5748,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_invdelay,52,82,30,FAIL,4,31.3888,CHECKER_PASS
random1_4type_invdelay,60,362,302,FAIL,4,3026.71,CHECKER_PASS
random2_4type_invdelay,63,364,301,FAIL,4,2191.39,CHECKER_PASS
random3_4type_invdelay,70,478,408,FAIL,4,5029.07,CHECKER_PASS
random4_4type_invdelay,54,537,483,FAIL,4,7445.0,CHECKER_PASS
random5_4type_invdelay,67,715,648,FAIL,4,16670.7,CHECKER_PASS
random6_4type_invdelay,61,1066,1005,FAIL,6,40202.5,CHECKER_PASS
random7_4type_invdelay,72,1187,1115,FAIL,4,73638.1,CHECKER_PASS
