DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.054,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.021,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,32,-2,PASS,4,0.039959,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,0.072541,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,51,12,FAIL,4,0.096292,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,0.107125,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,65,26,FAIL,5,0.183708,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,78,39,FAIL,9,0.530875,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,84,23,FAIL,6,0.513292,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,86,23,FAIL,6,0.577625,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,147,62,FAIL,8,1.52817,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,126,41,FAIL,13,3.96833,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,92,11,FAIL,4,0.250375,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,70,25,FAIL,5,0.235042,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,174,77,FAIL,4,1.07971,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,102,26,FAIL,6,0.858292,CHECKER_PASS
random1_4type_uniform,91,159,68,FAIL,25,16.5726,CHECKER_PASS
random2_4type_uniform,85,158,73,FAIL,27,15.4328,CHECKER_PASS
random3_4type_uniform,109,203,94,FAIL,25,31.0397,CHECKER_PASS
random4_4type_uniform,81,90,9,FAIL,45,17.8722,CHECKER_PASS
random5_4type_uniform,88,105,17,FAIL,52,31.015,CHECKER_PASS
random6_4type_uniform,91,101,10,FAIL,75,49.8113,CHECKER_PASS
random7_4type_uniform,99,110,11,FAIL,75,71.1788,CHECKER_PASS
example_4type_uniform,8,6,-2,PASS,2,0.136959,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.019375,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,32,-2,PASS,4,0.038792,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,0.061917,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,51,12,FAIL,4,0.087583,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,0.101084,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,65,26,FAIL,5,0.181083,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,78,39,FAIL,9,0.461583,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,84,23,FAIL,6,0.556375,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,86,23,FAIL,6,1.14263,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,147,62,FAIL,8,1.50142,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,126,41,FAIL,13,3.37425,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,92,11,FAIL,4,0.235875,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,70,25,FAIL,5,0.22775,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,174,77,FAIL,4,1.05838,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,102,26,FAIL,6,0.802708,CHECKER_PASS
random1_4type_uniform,91,159,68,FAIL,25,28.9734,CHECKER_PASS
random2_4type_uniform,85,158,73,FAIL,27,19.1891,CHECKER_PASS
random3_4type_uniform,109,203,94,FAIL,25,31.8082,CHECKER_PASS
random4_4type_uniform,81,90,9,FAIL,45,20.1037,CHECKER_PASS
random5_4type_uniform,88,105,17,FAIL,52,32.2796,CHECKER_PASS
random6_4type_uniform,91,101,10,FAIL,75,53.3248,CHECKER_PASS
random7_4type_uniform,99,110,11,FAIL,75,64.3088,CHECKER_PASS
