DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.113541,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.025125,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,32,-2,PASS,4,0.036208,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,0.0595,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,51,12,FAIL,4,0.087292,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,0.101416,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,85,46,FAIL,4,0.229416,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,162,123,FAIL,4,0.87475,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,162,101,FAIL,4,0.847125,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,168,105,FAIL,4,1.25533,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,300,215,FAIL,4,3.39508,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,504,419,FAIL,4,22.4884,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,92,11,FAIL,4,0.291375,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,87,42,FAIL,4,0.33725,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,174,77,FAIL,4,1.22246,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,204,128,FAIL,4,1.6615,CHECKER_PASS
random1_4type_uniform,91,456,365,FAIL,6,58.1575,CHECKER_PASS
random2_4type_uniform,85,462,377,FAIL,6,42.5806,CHECKER_PASS
random3_4type_uniform,109,607,498,FAIL,6,89.4939,CHECKER_PASS
random4_4type_uniform,81,383,302,FAIL,10,72.3915,CHECKER_PASS
random5_4type_uniform,88,457,369,FAIL,11,128.137,CHECKER_PASS
random6_4type_uniform,91,460,369,FAIL,15,235.284,CHECKER_PASS
random7_4type_uniform,99,508,409,FAIL,15,296.671,CHECKER_PASS
