DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_invdelay,8,12,4,FAIL,3,0.055958,CHECKER_PASS
hal_4type_invdelay,21,17,-4,PASS,4,0.021167,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.0285,CHECKER_PASS
arf_4type_invdelay,43,34,-9,PASS,4,0.056291,CHECKER_PASS
motion_vectors_dfg__7_4type_invdelay,25,30,5,FAIL,4,0.061167,CHECKER_PASS
ewf_4type_invdelay,61,45,-16,PASS,4,0.08425,CHECKER_PASS
feedback_points_dfg__7_4type_invdelay,30,39,9,FAIL,4,0.1445,CHECKER_PASS
write_bmp_header_dfg__7_4type_invdelay,28,66,38,FAIL,4,0.515583,CHECKER_PASS
interpolate_aux_dfg__12_4type_invdelay,34,68,34,FAIL,4,0.489792,CHECKER_PASS
matmul_dfg__3_4type_invdelay,43,68,25,FAIL,4,0.446459,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_invdelay,55,119,64,FAIL,4,1.43287,CHECKER_PASS
invert_matrix_general_dfg__3_4type_invdelay,69,199,130,FAIL,4,5.52937,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,0.153167,CHECKER_PASS
collapse_pyr_dfg__113_4type_invdelay,31,35,4,FAIL,4,0.170833,CHECKER_PASS
idctcol_dfg__3_4type_invdelay,67,75,8,FAIL,4,0.87975,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_invdelay,52,81,29,FAIL,4,0.728458,CHECKER_PASS
random1_4type_invdelay,60,184,124,FAIL,8,31.1534,CHECKER_PASS
random2_4type_invdelay,63,183,120,FAIL,8,26.0999,CHECKER_PASS
random3_4type_invdelay,70,163,93,FAIL,12,28.0841,CHECKER_PASS
random4_4type_invdelay,54,142,88,FAIL,16,28.336,CHECKER_PASS
random5_4type_invdelay,67,182,115,FAIL,16,54.8334,CHECKER_PASS
random6_4type_invdelay,61,156,95,FAIL,30,78.585,CHECKER_PASS
random7_4type_invdelay,72,198,126,FAIL,27,111.236,CHECKER_PASS
