DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_invdelay,8,11,3,FAIL,3,0.357542,CHECKER_PASS
hal_4type_invdelay,21,17,-4,PASS,4,0.132833,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.222625,CHECKER_PASS
arf_4type_invdelay,43,34,-9,PASS,4,0.702416,CHECKER_PASS
motion_vectors_dfg__7_4type_invdelay,25,30,5,FAIL,4,1.30288,CHECKER_PASS
ewf_4type_invdelay,61,45,-16,PASS,4,2.13979,CHECKER_PASS
feedback_points_dfg__7_4type_invdelay,30,39,9,FAIL,4,4.08896,CHECKER_PASS
write_bmp_header_dfg__7_4type_invdelay,28,66,38,FAIL,4,31.2845,CHECKER_PASS
interpolate_aux_dfg__12_4type_invdelay,34,69,35,FAIL,4,27.0846,CHECKER_PASS
matmul_dfg__3_4type_invdelay,43,71,28,FAIL,4,21.6639,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_invdelay,55,122,67,FAIL,4,101.766,CHECKER_PASS
invert_matrix_general_dfg__3_4type_invdelay,69,200,131,FAIL,4,549.297,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,4.20875,CHECKER_PASS
collapse_pyr_dfg__113_4type_invdelay,31,35,4,FAIL,4,4.55317,CHECKER_PASS
idctcol_dfg__3_4type_invdelay,67,74,7,FAIL,4,26.8444,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_invdelay,52,81,29,FAIL,4,48.0453,CHECKER_PASS
random1_4type_invdelay,60,95,35,FAIL,16,295.016,CHECKER_PASS
random2_4type_invdelay,63,120,57,FAIL,15,376.571,CHECKER_PASS
random3_4type_invdelay,70,124,54,FAIL,16,670.145,CHECKER_PASS
random4_4type_invdelay,54,93,39,FAIL,27,405.847,CHECKER_PASS
random5_4type_invdelay,67,120,53,FAIL,27,866.711,CHECKER_PASS
random6_4type_invdelay,61,102,41,FAIL,46,1252.39,CHECKER_PASS
random7_4type_invdelay,72,123,51,FAIL,40,2819.65,CHECKER_PASS
