DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.439458,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.458166,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,46,12,FAIL,4,1.35229,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,3.14158,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,56,17,FAIL,4,5.76296,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,2.94692,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,93,54,FAIL,4,19.3269,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,95,56,FAIL,7,31.3522,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,162,101,FAIL,4,69.9365,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,175,112,FAIL,4,70.5244,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,178,93,FAIL,6,138.222,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,264,179,FAIL,9,692.81,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,97,16,FAIL,4,8.377,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,89,44,FAIL,4,13.4149,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,179,82,FAIL,4,73.8403,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,204,128,FAIL,4,127.54,CHECKER_PASS
random1_4type_uniform,91,170,79,FAIL,17,907.853,CHECKER_PASS
random2_4type_uniform,85,166,81,FAIL,18,764.165,CHECKER_PASS
random3_4type_uniform,109,217,108,FAIL,17,1311.25,CHECKER_PASS
random4_4type_uniform,81,132,51,FAIL,30,864.812,CHECKER_PASS
random5_4type_uniform,88,165,77,FAIL,35,1199.58,CHECKER_PASS
random6_4type_uniform,91,168,77,FAIL,49,2766.72,CHECKER_PASS
random7_4type_uniform,99,190,91,FAIL,49,2961.65,CHECKER_PASS
