DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_invdelay,8,6,-2,PASS,2,0.107166,CHECKER_PASS
hal_4type_invdelay,21,17,-4,PASS,4,0.118791,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.210416,CHECKER_PASS
arf_4type_invdelay,43,34,-9,PASS,4,0.644,CHECKER_PASS
motion_vectors_dfg__7_4type_invdelay,25,25,0,PASS,6,1.70417,CHECKER_PASS
ewf_4type_invdelay,61,45,-16,PASS,4,0.875,CHECKER_PASS
feedback_points_dfg__7_4type_invdelay,30,30,0,PASS,7,2.63375,CHECKER_PASS
write_bmp_header_dfg__7_4type_invdelay,28,24,-4,PASS,12,11.2478,CHECKER_PASS
interpolate_aux_dfg__12_4type_invdelay,34,34,0,PASS,10,16.55,CHECKER_PASS
matmul_dfg__3_4type_invdelay,43,39,-4,PASS,8,19.6956,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_invdelay,55,47,-8,PASS,12,56.3879,CHECKER_PASS
invert_matrix_general_dfg__3_4type_invdelay,69,73,4,FAIL,12,220.168,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,3.52208,CHECKER_PASS
collapse_pyr_dfg__113_4type_invdelay,31,23,-8,PASS,8,1.98588,CHECKER_PASS
idctcol_dfg__3_4type_invdelay,67,67,0,PASS,6,21.1256,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_invdelay,52,46,-6,PASS,8,24.4404,CHECKER_PASS
random1_4type_invdelay,60,60,0,PASS,28,525.903,CHECKER_PASS
random2_4type_invdelay,63,62,-1,PASS,27,537.35,CHECKER_PASS
random3_4type_invdelay,70,66,-4,PASS,32,1072.88,CHECKER_PASS
random4_4type_invdelay,54,54,0,PASS,47,1030.33,CHECKER_PASS
random5_4type_invdelay,67,67,0,PASS,47,2260.66,CHECKER_PASS
random6_4type_invdelay,61,61,0,PASS,78,4551.11,CHECKER_PASS
random7_4type_invdelay,72,72,0,PASS,71,6633.21,CHECKER_PASS
example_4type_invdelay,8,6,-2,PASS,2,0.209792,CHECKER_PASS
hal_4type_invdelay,21,17,-4,PASS,4,0.238042,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.207375,CHECKER_PASS
arf_4type_invdelay,43,34,-9,PASS,4,0.635083,CHECKER_PASS
motion_vectors_dfg__7_4type_invdelay,25,25,0,PASS,6,0.900125,CHECKER_PASS
ewf_4type_invdelay,61,45,-16,PASS,4,0.887958,CHECKER_PASS
feedback_points_dfg__7_4type_invdelay,30,30,0,PASS,7,3.46658,CHECKER_PASS
write_bmp_header_dfg__7_4type_invdelay,28,24,-4,PASS,12,17.4627,CHECKER_PASS
interpolate_aux_dfg__12_4type_invdelay,34,34,0,PASS,10,20.6405,CHECKER_PASS
matmul_dfg__3_4type_invdelay,43,39,-4,PASS,8,19.5092,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_invdelay,55,47,-8,PASS,12,53.03,CHECKER_PASS
invert_matrix_general_dfg__3_4type_invdelay,69,73,4,FAIL,12,219.34,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,3.29196,CHECKER_PASS
collapse_pyr_dfg__113_4type_invdelay,31,23,-8,PASS,8,2.15454,CHECKER_PASS
idctcol_dfg__3_4type_invdelay,67,67,0,PASS,6,21.5822,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_invdelay,52,46,-6,PASS,8,24.7754,CHECKER_PASS
random1_4type_invdelay,60,60,0,PASS,28,483.558,CHECKER_PASS
random2_4type_invdelay,63,62,-1,PASS,27,516.304,CHECKER_PASS
