DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.105167,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.177375,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,46,12,FAIL,4,0.55375,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,1.23071,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,33,-6,PASS,6,1.94117,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,1.49375,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,41,2,FAIL,8,7.68963,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,53,14,FAIL,12,31.8442,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,64,3,FAIL,9,45.0504,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,68,5,FAIL,9,56.5483,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,92,7,FAIL,11,184.149,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,98,13,FAIL,16,796.339,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,79,-2,PASS,5,7.83367,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,59,14,FAIL,7,7.13513,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,99,2,FAIL,6,52.2075,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,72,-4,PASS,9,68.3854,CHECKER_PASS
random1_4type_uniform,91,102,11,FAIL,31,1763.08,CHECKER_PASS
random2_4type_uniform,85,92,7,FAIL,33,1578.96,CHECKER_PASS
random3_4type_uniform,109,116,7,FAIL,31,4139.43,CHECKER_PASS
random4_4type_uniform,81,90,9,FAIL,52,3511.18,CHECKER_PASS
random5_4type_uniform,88,96,8,FAIL,60,7244.36,CHECKER_PASS
random6_4type_uniform,91,100,9,FAIL,85,17564.3,CHECKER_PASS
random7_4type_uniform,99,112,13,FAIL,85,23025.3,CHECKER_PASS
