DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms
example_4type_invdelay,8,6,-2,PASS,2,0.100625
hal_4type_invdelay,21,17,-4,PASS,4,0.11575
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.203459
arf_4type_invdelay,43,34,-9,PASS,4,0.640875
motion_vectors_dfg__7_4type_invdelay,25,30,5,FAIL,5,0.883292
ewf_4type_invdelay,61,45,-16,PASS,4,0.858958
feedback_points_dfg__7_4type_invdelay,30,30,0,PASS,7,4.53538
write_bmp_header_dfg__7_4type_invdelay,28,25,-3,PASS,12,18.71
interpolate_aux_dfg__12_4type_invdelay,34,34,0,PASS,10,103.187
matmul_dfg__3_4type_invdelay,43,39,-4,PASS,8,40.678
smooth_color_z_triangle_dfg__31_4type_invdelay,55,47,-8,PASS,12,84.4262
invert_matrix_general_dfg__3_4type_invdelay,69,73,4,FAIL,12,267.761
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,3.55442
collapse_pyr_dfg__113_4type_invdelay,31,23,-8,PASS,8,2.80725
idctcol_dfg__3_4type_invdelay,67,67,0,PASS,6,27.6298
jpeg_fdct_islow_dfg__6_4type_invdelay,52,48,-4,PASS,8,30.2075
random1_4type_invdelay,60,61,1,FAIL,28,572.457
random2_4type_invdelay,63,65,2,FAIL,27,534.086
random3_4type_invdelay,70,68,-2,PASS,32,1134.66
random4_4type_invdelay,54,55,1,FAIL,47,1142.2
random5_4type_invdelay,67,70,3,FAIL,47,2350.73
random6_4type_invdelay,61,65,4,FAIL,78,5215.13
random7_4type_invdelay,72,74,2,FAIL,71,7098.56
