DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_invdelay,8,6,-2,PASS,2,0.094917,CHECKER_PASS
hal_4type_invdelay,21,17,-4,PASS,4,0.116541,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.213708,CHECKER_PASS
arf_4type_invdelay,43,34,-9,PASS,4,0.620125,CHECKER_PASS
motion_vectors_dfg__7_4type_invdelay,25,30,5,FAIL,5,0.920375,CHECKER_PASS
ewf_4type_invdelay,61,45,-16,PASS,4,0.855417,CHECKER_PASS
feedback_points_dfg__7_4type_invdelay,30,30,0,PASS,7,3.52275,CHECKER_PASS
write_bmp_header_dfg__7_4type_invdelay,28,25,-3,PASS,12,14.2275,CHECKER_PASS
interpolate_aux_dfg__12_4type_invdelay,34,34,0,PASS,10,18.0944,CHECKER_PASS
matmul_dfg__3_4type_invdelay,43,39,-4,PASS,8,18.4123,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_invdelay,55,47,-8,PASS,12,49.8406,CHECKER_PASS
invert_matrix_general_dfg__3_4type_invdelay,69,73,4,FAIL,12,226.102,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,3.30063,CHECKER_PASS
collapse_pyr_dfg__113_4type_invdelay,31,23,-8,PASS,8,2.63683,CHECKER_PASS
idctcol_dfg__3_4type_invdelay,67,67,0,PASS,6,27.3749,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_invdelay,52,48,-4,PASS,8,31.9741,CHECKER_PASS
random1_4type_invdelay,60,61,1,FAIL,28,569.036,CHECKER_PASS
random2_4type_invdelay,63,65,2,FAIL,27,534.75,CHECKER_PASS
random3_4type_invdelay,70,68,-2,PASS,32,1129.83,CHECKER_PASS
random4_4type_invdelay,54,55,1,FAIL,47,1142.79,CHECKER_PASS
random5_4type_invdelay,67,70,3,FAIL,47,2341.37,CHECKER_PASS
random6_4type_invdelay,61,65,4,FAIL,78,5003.25,CHECKER_PASS
random7_4type_invdelay,72,74,2,FAIL,71,7172.55,CHECKER_PASS
