DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.090625,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.163125,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,46,12,FAIL,4,0.521083,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,1.85408,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,33,-6,PASS,6,1.818,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,1.556,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,41,2,FAIL,8,6.2415,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,53,14,FAIL,12,45.9166,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,64,3,FAIL,9,41.712,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,68,5,FAIL,9,46.0263,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,92,7,FAIL,11,182.757,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,98,13,FAIL,16,726.285,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,79,-2,PASS,5,8.22963,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,59,14,FAIL,7,5.73621,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,99,2,FAIL,6,52.5388,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,72,-4,PASS,9,68.2257,CHECKER_PASS
random1_4type_uniform,91,102,11,FAIL,31,1806.97,CHECKER_PASS
random2_4type_uniform,85,92,7,FAIL,33,1618.86,CHECKER_PASS
random3_4type_uniform,109,116,7,FAIL,31,4068.54,CHECKER_PASS
random4_4type_uniform,81,90,9,FAIL,52,3597.62,CHECKER_PASS
random5_4type_uniform,88,96,8,FAIL,60,7445.51,CHECKER_PASS
random6_4type_uniform,91,100,9,FAIL,85,18393.0,CHECKER_PASS
random7_4type_uniform,99,112,13,FAIL,85,23240.6,CHECKER_PASS
