DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms
example_4type_uniform,8,6,-2,PASS,2,0.224166
hal_4type_uniform,22,21,-1,PASS,4,0.399875
horner_bezier_surf_dfg__12_4type_uniform,34,46,12,FAIL,4,1.76896
arf_4type_uniform,57,46,-11,PASS,4,1.26292
motion_vectors_dfg__7_4type_uniform,39,33,-6,PASS,6,3.01737
ewf_4type_uniform,97,72,-25,PASS,4,1.96883
feedback_points_dfg__7_4type_uniform,39,41,2,FAIL,8,8.45825
write_bmp_header_dfg__7_4type_uniform,39,53,14,FAIL,12,40.7561
interpolate_aux_dfg__12_4type_uniform,61,64,3,FAIL,9,43.2106
matmul_dfg__3_4type_uniform,63,68,5,FAIL,9,47.4376
smooth_color_z_triangle_dfg__31_4type_uniform,85,92,7,FAIL,11,194.173
invert_matrix_general_dfg__3_4type_uniform,85,98,13,FAIL,16,723.176
h2v2_smooth_downsample_dfg__6_4type_uniform,81,79,-2,PASS,5,7.65658
collapse_pyr_dfg__113_4type_uniform,45,59,14,FAIL,7,5.82796
idctcol_dfg__3_4type_uniform,97,99,2,FAIL,6,52.2094
jpeg_fdct_islow_dfg__6_4type_uniform,76,72,-4,PASS,9,68.8106
random1_4type_uniform,91,100,9,FAIL,31,1803.12
random2_4type_uniform,85,95,10,FAIL,33,1651.87
random3_4type_uniform,109,116,7,FAIL,31,4081.49
random4_4type_uniform,81,90,9,FAIL,52,3604.65
random5_4type_uniform,88,96,8,FAIL,60,7735.47
random6_4type_uniform,91,99,8,FAIL,85,18164.8
random7_4type_uniform,99,110,11,FAIL,85,23847.1
