DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_invdelay,8,6,-2,PASS,2,0.044291,
hal_4type_invdelay,21,17,-4,PASS,4,0.018541,
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.028583,
arf_4type_invdelay,43,34,-9,PASS,4,0.057083,
motion_vectors_dfg__7_4type_invdelay,25,25,0,PASS,6,0.061292,
ewf_4type_invdelay,61,45,-16,PASS,4,0.078084,
feedback_points_dfg__7_4type_invdelay,30,30,0,PASS,7,0.11075,
write_bmp_header_dfg__7_4type_invdelay,28,24,-4,PASS,12,0.253625,
interpolate_aux_dfg__12_4type_invdelay,34,34,0,PASS,10,0.301292,
matmul_dfg__3_4type_invdelay,43,39,-4,PASS,8,0.316417,
smooth_color_z_triangle_dfg__31_4type_invdelay,55,47,-8,PASS,12,0.692791,
invert_matrix_general_dfg__3_4type_invdelay,69,69,0,PASS,12,2.01533,
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,0.141541,
collapse_pyr_dfg__113_4type_invdelay,31,23,-8,PASS,8,0.111042,
idctcol_dfg__3_4type_invdelay,67,67,0,PASS,6,0.459708,
jpeg_fdct_islow_dfg__6_4type_invdelay,52,44,-8,PASS,8,0.394333,
random1_4type_invdelay,60,60,0,PASS,28,9.01292,
random2_4type_invdelay,63,62,-1,PASS,27,10.1236,
random3_4type_invdelay,70,66,-4,PASS,32,14.8169,
random4_4type_invdelay,54,54,0,PASS,47,13.8575,
random5_4type_invdelay,67,67,0,PASS,47,20.9036,
random6_4type_invdelay,61,61,0,PASS,78,31.6758,
random7_4type_invdelay,72,72,0,PASS,71,43.42,
