DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.050041,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.022375,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,32,-2,PASS,4,0.043959,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,0.065292,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,33,-6,PASS,6,0.06075,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,0.1015,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,35,-4,PASS,8,0.12125,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,39,0,PASS,12,0.398666,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,58,-3,PASS,9,0.35575,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,60,-3,PASS,9,0.388709,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,81,-4,PASS,11,1.51887,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,85,0,PASS,16,3.87979,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,65,-16,PASS,5,0.18525,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,45,0,PASS,7,0.167584,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,91,-6,PASS,6,0.583167,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,72,-4,PASS,9,0.56275,CHECKER_PASS
random1_4type_uniform,91,91,0,PASS,31,12.7774,CHECKER_PASS
random2_4type_uniform,85,84,-1,PASS,33,13.3237,CHECKER_PASS
random3_4type_uniform,109,109,0,PASS,31,23.0173,CHECKER_PASS
random4_4type_uniform,81,80,-1,PASS,52,18.0045,CHECKER_PASS
random5_4type_uniform,88,86,-2,PASS,60,24.8126,CHECKER_PASS
random6_4type_uniform,91,91,0,PASS,85,46.1897,CHECKER_PASS
random7_4type_uniform,99,99,0,PASS,85,56.4277,CHECKER_PASS
