// The next line is the dfg name
feedback_points_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 93
0 31 2
1 4 1
2 5 0
3 7 0
4 61 3
5 67 3
6 73 2
7 6 0
8 21 2
9 25 3
10 31 1
11 36 2
12 49 3
13 78 1
14 1 0
15 2 0
16 81 0
17 3 0
18 1 3
19 1 1
20 7 1
21 10 0
22 13 3
23 81 1
24 6 2
25 11 2
26 84 0
27 37 3
28 26 2
29 13 1
30 31 3
31 43 3
32 49 2
33 78 0
34 10 1
35 19 3
36 79 0
37 4 0
38 1 2
39 55 3
40 61 1
41 64 1
42 67 1
43 16 1
44 79 3
45 89 2
46 73 3
47 79 2
48 84 2
49 7 3
50 16 2
51 21 1
52 89 0
