// The next line is the dfg name
idctcol_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 82
0 1 0
1 6 2
2 13 3
3 19 0
4 22 1
5 2 0
6 3 0
7 5 0
8 1 2
9 7 0
10 8 0
11 12 0
12 14 0
13 15 0
14 1 1
15 4 0
16 7 1
17 6 0
18 10 0
19 11 2
20 11 0
21 13 1
22 17 0
23 27 2
24 27 0
25 4 1
26 10 1
27 13 0
28 21 0
29 22 2
30 55 3
31 9 0
32 25 3
33 31 0
34 16 1
35 16 0
36 31 3
37 18 0
38 32 2
39 34 1
40 63 0
41 61 0
42 20 0
43 25 1
44 49 3
45 55 0
46 19 3
47 25 0
48 26 0
49 28 1
50 39 0
51 40 0
52 41 0
53 42 0
54 43 0
55 19 1
56 30 0
57 46 1
58 64 0
59 65 2
60 70 0
61 71 0
62 72 0
63 1 3
64 24 0
65 73 0
66 62 0
67 65 1
68 68 0
69 69 1
70 74 0
71 32 0
72 34 0
73 75 0
74 37 2
75 42 2
76 52 2
77 57 1
78 60 0
79 16 2
80 61 3
81 67 0
82 37 0
83 38 0
84 43 3
85 49 0
86 50 1
87 23 0
88 31 1
89 53 0
90 62 1
91 65 0
92 70 2
93 76 1
94 79 0
95 29 0
96 33 0
97 80 0
98 66 0
99 69 0
100 76 0
101 77 0
102 79 1
103 7 3
104 28 0
105 82 0
106 37 3
107 43 1
108 46 0
109 47 2
110 52 0
111 22 0
112 67 3
113 73 1
