// The next line is the dfg name
idctcol_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 174
0 1 0
1 7 3
2 13 3
3 19 0
4 31 2
5 1 1
6 4 0
7 10 1
8 19 3
9 25 1
10 28 0
11 13 1
12 16 1
13 19 1
14 1 2
15 7 1
16 11 2
17 6 2
18 16 2
19 25 3
20 4 1
21 26 2
22 31 1
23 37 3
24 36 0
25 1 3
26 21 2
27 26 0
28 46 2
29 61 3
30 73 3
31 2 0
32 31 3
33 41 2
34 61 2
35 36 2
36 43 3
37 34 1
38 55 3
39 56 2
40 79 1
41 79 0
42 51 2
43 66 2
44 85 3
45 91 1
46 49 3
47 55 0
48 56 1
49 76 2
50 66 1
51 69 0
52 91 2
53 98 1
54 101 0
55 101 2
56 107 1
57 169 3
58 96 2
59 133 3
60 139 0
61 140 1
62 143 0
63 151 3
64 157 1
65 160 0
66 81 0
67 109 3
68 115 1
69 118 1
70 121 1
71 111 2
72 116 0
73 124 0
74 79 3
75 91 3
76 121 3
77 131 2
78 136 0
79 127 3
80 157 3
81 163 1
82 71 2
83 81 2
84 103 3
85 110 1
86 116 2
87 3 0
88 106 2
89 136 2
90 97 3
91 104 1
92 139 3
93 145 1
94 148 0
95 5 0
96 126 2
97 149 0
98 94 0
99 95 1
100 98 0
101 99 0
102 101 1
103 163 3
104 169 0
105 170 0
106 67 3
107 86 2
108 91 0
109 115 3
110 121 2
111 22 1
112 145 3
113 151 2
