// The next line is the dfg name
collapse_pyr_dfg__113_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 89
0 1 0
1 55 3
2 61 3
3 67 1
4 73 1
5 21 2
6 1 1
7 4 1
8 7 0
9 43 3
10 49 1
11 52 1
12 1 3
13 31 2
14 40 1
15 43 2
16 79 3
17 85 2
18 1 2
19 8 0
20 67 3
21 73 3
22 79 2
23 84 1
24 26 2
25 6 2
26 11 0
27 12 0
28 13 3
29 31 1
30 34 0
31 6 0
32 11 2
33 19 3
34 25 0
35 31 0
36 32 0
37 7 3
38 49 3
39 55 2
40 60 2
41 37 1
42 65 2
43 70 1
44 13 1
45 16 2
46 21 0
47 25 3
48 33 0
49 34 1
50 31 3
51 37 3
52 43 1
53 46 0
54 48 2
55 53 0
