// The next line is the dfg name
feedback_points_dfg__7_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 39
0 8 0
1 6 0
2 7 0
3 9 0
4 16 2
5 21 0
6 22 0
7 5 0
8 3 0
9 13 3
10 19 0
11 21 1
12 26 2
13 34 1
14 18 0
15 23 0
16 37 0
17 15 0
18 11 2
19 14 0
20 16 0
21 17 0
22 18 1
23 24 0
24 7 1
25 13 1
26 28 0
27 1 3
28 1 1
29 1 0
30 7 3
31 19 3
32 25 0
33 26 0
34 4 0
35 31 3
36 37 1
37 10 0
38 4 1
39 1 2
40 11 0
41 12 0
42 13 0
43 2 0
44 6 2
45 21 2
46 10 1
47 20 0
48 27 0
49 25 3
50 31 1
51 34 0
52 35 0
