// The next line is the dfg name
idctcol_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 174
0 1 0
1 7 3
2 13 3
3 19 0
4 26 2
5 1 1
6 4 0
7 10 1
8 19 3
9 25 1
10 28 0
11 13 1
12 16 1
13 19 1
14 1 2
15 7 1
16 11 2
17 6 2
18 21 2
19 31 3
20 4 1
21 31 2
22 36 1
23 37 3
24 31 0
25 1 3
26 16 2
27 21 0
28 46 2
29 55 3
30 79 3
31 2 0
32 25 3
33 36 2
34 51 2
35 41 2
36 49 3
37 39 1
38 43 3
39 56 2
40 85 1
41 85 0
42 61 2
43 71 2
44 85 3
45 91 1
46 61 3
47 67 0
48 68 1
49 81 2
50 56 1
51 59 0
52 91 2
53 98 1
54 101 0
55 101 2
56 107 1
57 169 3
58 96 2
59 139 3
60 145 0
61 146 1
62 149 0
63 151 3
64 157 1
65 160 0
66 86 0
67 127 3
68 133 1
69 136 1
70 139 1
71 121 2
72 126 0
73 142 0
74 73 3
75 91 3
76 121 3
77 131 2
78 136 0
79 115 3
80 157 3
81 163 1
82 66 2
83 76 2
84 97 3
85 104 1
86 111 2
87 3 0
88 106 2
89 136 2
90 103 3
91 110 1
92 145 3
93 151 1
94 154 0
95 5 0
96 126 2
97 155 0
98 94 0
99 95 1
100 98 0
101 99 0
102 101 1
103 163 3
104 169 0
105 170 0
106 67 3
107 86 2
108 91 0
109 109 3
110 116 2
111 22 1
112 133 3
113 141 2
