// The next line is the dfg name
invert_matrix_general_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 504
0 311 2
1 1 0
2 2 0
3 3 0
4 317 0
5 376 2
6 24 0
7 121 3
8 131 2
9 319 1
10 322 1
11 163 1
12 469 3
13 475 3
14 481 3
15 487 3
16 121 1
17 127 3
18 133 0
19 326 2
20 371 2
21 55 3
22 76 2
23 81 2
24 86 0
25 37 3
26 64 1
27 68 0
28 97 3
29 106 2
30 1 3
31 7 0
32 9 0
33 17 0
34 112 1
35 116 2
36 316 0
37 306 2
38 451 3
39 457 2
40 221 2
41 226 2
42 289 3
43 301 2
44 191 2
45 196 2
46 211 2
47 216 2
48 306 1
49 115 1
50 136 2
51 141 0
52 271 2
53 309 1
54 445 3
55 40 1
56 43 0
57 451 2
58 169 3
59 175 1
60 193 3
61 201 2
62 82 1
63 88 1
64 96 2
65 103 1
66 211 3
67 73 1
68 86 2
69 91 2
70 97 1
71 217 1
72 220 1
73 319 3
74 223 3
75 229 3
76 325 0
77 41 2
78 46 0
79 48 0
80 50 0
81 355 3
82 367 3
83 373 1
84 379 3
85 385 1
86 118 1
87 142 1
88 154 1
89 160 1
90 388 2
91 393 2
92 36 0
93 493 3
94 499 3
95 29 0
96 145 1
97 161 2
98 67 3
99 91 1
100 94 0
101 166 2
102 101 2
103 109 1
104 112 0
105 175 3
106 187 3
107 193 0
108 205 3
109 217 3
110 373 3
111 385 3
112 391 1
113 331 3
114 356 2
115 361 0
116 397 3
117 31 0
118 141 2
119 146 0
120 136 1
121 148 1
122 157 1
123 160 0
124 403 3
125 151 1
126 241 3
127 251 2
128 28 0
129 32 0
130 235 3
131 256 1
132 253 3
133 261 2
134 266 2
135 21 0
136 26 0
137 124 1
138 271 1
139 274 0
140 247 3
141 256 2
142 261 1
143 22 0
144 27 0
145 34 0
146 271 3
147 163 3
148 171 2
149 181 3
150 133 1
151 139 3
152 145 3
153 187 0
154 277 3
155 52 1
156 55 0
157 66 2
158 16 0
159 18 0
160 61 1
161 73 3
162 5 0
163 22 1
164 25 0
165 46 2
166 51 2
167 61 3
168 67 0
169 79 0
170 20 0
171 85 1
172 94 1
173 23 0
174 106 1
175 111 2
176 121 2
177 61 2
178 67 1
179 70 1
180 19 0
181 71 2
182 76 1
183 79 1
184 126 0
185 231 2
186 295 3
187 307 3
188 316 2
189 126 2
190 133 3
191 139 1
192 283 1
193 325 1
194 49 1
195 56 2
196 61 0
197 276 0
198 328 1
199 361 2
200 79 3
201 85 0
202 366 2
203 31 3
204 55 1
205 58 1
206 91 3
207 25 1
208 28 1
209 31 1
210 127 1
211 130 0
212 43 1
213 47 0
214 49 3
215 410 0
216 411 2
217 417 0
218 418 2
219 34 1
220 37 1
221 423 1
222 35 0
223 181 2
224 186 2
225 296 2
226 325 3
227 331 2
228 336 2
229 341 2
230 346 2
231 156 2
232 161 0
233 337 3
234 343 3
235 351 2
236 361 3
237 1 2
238 6 0
239 367 0
240 241 2
241 246 2
242 251 1
243 349 3
244 281 2
245 286 1
246 391 3
247 415 3
248 421 3
249 30 0
250 151 2
251 157 3
252 223 0
253 427 3
254 433 3
255 439 1
256 236 2
257 283 3
258 442 1
259 36 2
260 41 0
261 43 3
262 85 3
263 7 3
264 13 3
265 19 1
266 286 2
267 291 0
268 7 1
269 10 0
270 12 0
271 276 2
272 292 1
273 295 1
274 316 1
275 4 0
276 26 2
277 319 0
278 6 2
279 11 0
280 13 1
281 80 0
282 10 1
283 13 0
284 19 3
285 127 0
286 130 1
287 14 0
288 16 2
289 21 2
290 409 0
291 410 1
292 413 1
293 1 1
294 4 1
295 416 0
296 33 0
297 259 3
298 265 3
299 291 2
300 100 1
301 103 0
302 146 2
303 151 3
304 301 3
305 103 3
306 109 3
307 115 3
308 223 1
309 307 0
310 313 3
311 321 2
312 11 2
313 16 1
314 326 0
315 8 0
316 15 0
317 31 2
318 275 0
319 176 2
320 199 3
321 206 2
322 409 3
323 415 0
324 25 3
325 46 1
326 49 0
327 226 1
328 418 0
329 439 3
330 457 3
331 463 3
332 469 2
