// The next line is the dfg name
h2v2_smooth_downsample_dfg__6_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 97
0 16 2
1 21 2
2 31 2
3 37 3
4 10 1
5 43 3
6 1 2
7 6 0
8 49 1
9 7 0
10 19 3
11 26 2
12 34 1
13 49 3
14 55 1
15 13 1
16 55 3
17 61 3
18 6 2
19 31 3
20 67 3
21 1 1
22 4 0
23 73 3
24 4 1
25 11 2
26 79 2
27 1 3
28 7 1
29 84 1
30 87 1
31 25 3
32 31 1
33 2 0
34 5 0
35 36 2
36 13 3
37 19 1
38 41 2
39 3 0
40 7 3
41 46 2
42 90 1
43 56 2
44 93 0
45 94 0
46 95 0
47 96 0
48 97 0
49 1 0
50 51 2
