// The next line is the dfg name
interpolate_aux_dfg__12_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 69
0 41 0
1 31 2
2 39 0
3 42 0
4 44 0
5 46 0
6 26 2
7 35 0
8 25 1
9 37 1
10 40 0
11 43 0
12 37 3
13 36 0
14 37 0
15 38 0
16 44 1
17 47 0
18 48 0
19 49 0
20 55 1
21 28 1
22 12 0
23 1 3
24 49 3
25 58 1
26 62 0
27 20 0
28 15 0
29 19 1
30 22 0
31 36 2
32 41 1
33 16 2
34 6 0
35 1 2
36 25 3
37 31 0
38 34 1
39 10 1
40 7 0
41 7 1
42 10 0
43 13 0
44 43 3
45 49 1
46 52 1
47 55 0
48 55 3
49 45 0
50 41 2
51 50 0
52 61 1
53 64 0
54 21 0
55 17 0
56 18 0
57 23 0
58 26 0
59 46 2
60 5 0
61 1 0
62 2 0
63 6 2
64 13 3
65 24 0
66 14 0
67 9 0
68 11 0
69 16 1
70 19 0
71 25 0
72 27 0
73 51 2
74 64 1
75 31 1
76 51 0
77 52 0
78 53 0
79 56 0
80 68 0
81 4 0
82 1 1
83 3 0
84 4 1
85 7 3
86 61 3
87 29 0
88 19 3
89 28 0
90 30 0
91 32 0
92 33 0
93 8 0
94 11 2
95 13 1
96 16 0
97 21 2
98 34 0
99 56 2
100 61 0
101 67 0
102 54 0
103 31 3
104 22 1
105 61 2
106 66 0
107 69 0
