// The next line is the dfg name
h2v2_smooth_downsample_dfg__6_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 53
0 5 0
1 3 0
2 4 1
3 7 1
4 10 0
5 16 1
6 22 1
7 27 0
8 28 0
9 2 0
10 1 2
11 6 0
12 7 0
13 1 3
14 8 0
15 1 0
16 7 3
17 13 1
18 1 1
19 13 3
20 19 3
21 15 0
22 19 0
23 25 0
24 9 0
25 19 1
26 26 0
27 25 3
28 31 0
29 32 0
30 33 0
31 10 1
32 13 0
33 11 0
34 12 0
35 14 0
36 11 2
37 16 0
38 17 0
39 4 0
40 6 2
41 18 0
42 34 0
43 29 0
44 35 0
45 36 2
46 41 2
47 46 2
48 51 1
49 20 0
50 25 1
