// The next line is the dfg name
random5_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 6 6 1
MUL 7 7 3
DIV 7 7 5
SQRT 7 7 6
actual latency 120
0 1 6
1 4 6
2 4 2
3 4 3
4 5 18
5 7 12
6 99 0
7 7 0
8 7 4
9 20 5
10 8 4
11 37 6
12 45 1
13 9 4
14 8 1
15 45 2
16 19 12
17 18 11
18 8 7
19 9 10
20 49 6
21 39 3
22 9 3
23 40 12
24 45 3
25 37 13
26 18 10
27 29 4
28 39 5
29 37 0
30 10 0
31 41 4
32 10 3
33 10 12
34 11 26
35 45 4
36 45 5
37 12 3
38 29 1
39 38 8
40 12 4
41 46 1
42 13 1
43 14 3
44 5 5
45 46 2
46 4 1
47 13 0
48 11 4
49 20 4
50 9 2
51 9 1
52 41 8
53 14 16
54 14 2
55 31 4
56 46 3
57 46 4
58 34 24
59 46 5
60 36 11
61 38 14
62 12 13
63 47 1
64 11 0
65 11 1
66 47 2
67 19 2
68 15 4
69 35 1
70 15 17
71 47 3
72 22 5
73 47 4
74 33 23
75 47 5
76 39 10
77 29 3
78 48 1
79 48 2
80 37 3
81 15 23
82 43 4
83 48 3
84 43 2
85 19 5
86 48 4
87 48 5
88 12 2
89 12 5
90 42 10
91 42 11
92 39 15
93 49 1
94 14 7
95 17 8
96 37 2
97 49 2
98 43 12
99 13 5
100 41 0
101 21 1
102 49 3
103 35 25
104 21 2
105 44 8
106 21 3
107 49 4
108 49 5
109 12 0
110 21 23
111 50 1
112 39 16
113 35 26
114 22 6
115 45 10
116 50 2
117 10 17
118 50 3
119 50 4
120 38 21
121 50 5
122 39 22
123 51 1
124 51 2
125 14 15
126 23 26
127 17 25
128 51 3
129 51 4
130 40 17
131 51 5
132 33 11
133 23 3
134 52 1
135 23 4
136 40 3
137 27 13
138 23 5
139 45 11
140 40 18
141 52 2
142 16 5
143 39 23
144 46 12
145 24 4
146 27 2
147 27 11
148 36 5
149 52 3
150 40 24
151 42 1
152 47 8
153 48 10
154 52 4
155 52 5
156 5 19
157 53 1
158 5 4
159 53 2
160 53 3
161 53 4
162 48 11
163 49 12
164 50 7
165 37 1
166 53 5
167 16 3
168 25 4
169 54 1
170 50 8
171 25 2
172 54 2
173 54 3
174 54 4
175 40 19
176 54 5
177 41 25
178 51 9
179 51 10
180 51 11
181 10 5
182 52 6
183 41 26
184 55 1
185 10 4
186 55 2
187 44 3
188 42 0
189 55 3
190 39 2
191 43 20
192 42 13
193 52 12
194 17 5
195 44 21
196 45 22
197 55 4
198 43 14
199 55 5
200 28 4
201 53 7
202 39 1
203 13 4
204 44 15
205 56 1
206 56 2
207 56 3
208 56 4
209 26 4
210 56 5
211 57 1
212 53 8
213 57 2
214 44 16
215 57 3
216 57 4
217 54 9
218 57 5
219 58 1
220 14 5
221 45 17
222 54 10
223 45 18
224 11 7
225 54 11
226 45 19
227 55 6
228 55 12
229 58 2
230 56 7
231 58 3
232 58 4
233 58 5
234 59 1
235 47 13
236 42 2
237 45 23
238 48 14
239 59 2
240 46 24
241 59 3
242 56 8
243 49 15
244 57 9
245 57 10
246 47 25
247 59 4
248 17 3
249 59 5
250 57 11
251 49 16
252 60 1
253 60 2
254 60 3
255 50 17
256 58 6
257 60 4
258 60 5
259 34 15
260 61 1
261 47 26
262 61 2
263 50 18
264 61 3
265 49 20
266 50 19
267 61 4
268 61 5
269 58 12
270 62 1
271 62 2
272 62 3
273 52 13
274 50 21
275 18 3
276 62 4
277 62 5
278 53 14
279 54 15
280 63 1
281 59 7
282 63 2
283 63 3
284 59 8
285 60 9
286 63 4
287 63 5
288 60 10
289 64 1
290 14 4
291 51 22
292 54 16
293 64 2
294 64 3
295 60 11
296 64 4
297 64 5
298 51 23
299 1 20
300 7 13
301 12 9
302 15 22
303 21 9
304 21 0
305 35 3
306 14 21
307 65 1
308 7 3
309 20 8
310 23 2
311 22 12
312 22 1
313 61 6
314 22 24
315 55 17
316 65 2
317 22 0
318 23 7
319 24 15
320 24 2
321 52 24
322 24 16
323 27 23
324 25 5
325 26 3
326 24 0
327 65 3
328 65 4
329 25 1
330 25 6
331 25 0
332 65 5
333 26 21
334 29 25
335 66 1
336 23 14
337 26 5
338 36 3
339 23 0
340 66 2
341 28 6
342 28 24
343 66 3
344 34 6
345 26 1
346 26 7
347 53 25
348 55 18
349 29 26
350 26 0
351 66 4
352 66 5
353 36 1
354 26 8
355 25 20
356 24 1
357 55 19
358 24 9
359 25 19
360 24 5
361 67 1
362 67 2
363 29 0
364 53 26
365 67 3
366 32 2
367 29 7
368 29 15
369 55 20
370 25 12
371 29 16
372 56 21
373 25 17
374 27 22
375 67 4
376 61 12
377 34 0
378 67 5
379 62 7
380 34 5
381 62 8
382 35 19
383 32 1
384 68 1
385 32 13
386 68 2
387 10 18
388 63 9
389 30 11
390 33 10
391 68 3
392 37 20
393 27 9
394 68 4
395 30 10
396 68 5
397 29 8
398 69 1
399 69 2
400 69 3
401 69 4
402 69 5
403 63 10
404 33 9
405 57 22
406 33 2
407 70 1
408 70 2
409 70 3
410 33 0
411 70 4
412 31 20
413 31 0
414 57 13
415 70 5
416 32 7
417 32 21
418 71 1
419 71 2
420 57 23
421 71 3
422 63 11
423 27 0
424 27 1
425 71 4
426 71 5
427 72 1
428 26 2
429 64 6
430 36 0
431 35 7
432 64 12
433 72 2
434 72 3
435 58 14
436 58 24
437 72 4
438 72 5
439 30 0
440 31 1
441 33 1
442 65 7
443 73 1
444 65 8
445 66 9
446 66 10
447 34 12
448 66 11
449 32 0
450 32 4
451 59 15
452 67 6
453 32 5
454 67 12
455 73 2
456 32 8
457 59 25
458 73 3
459 68 7
460 68 8
461 59 26
462 28 12
463 61 20
464 62 21
465 63 22
466 73 4
467 59 16
468 63 23
469 31 3
470 69 9
471 31 2
472 38 0
473 64 24
474 38 2
475 73 5
476 74 1
477 74 2
478 74 3
479 74 4
480 69 10
481 38 4
482 38 5
483 74 5
484 75 1
485 75 2
486 75 3
487 75 4
488 38 1
489 75 5
490 76 1
491 65 25
492 76 2
493 65 26
494 69 11
495 76 3
496 60 17
497 60 18
498 76 4
499 70 6
500 76 5
501 70 12
502 77 1
503 30 9
504 71 7
505 71 8
506 77 2
507 77 3
508 44 4
509 77 4
510 44 5
511 77 5
512 60 19
513 35 5
514 67 20
515 68 21
516 78 1
517 78 2
518 78 3
519 62 13
520 28 1
521 63 14
522 28 2
523 64 15
524 64 16
525 28 14
526 78 4
527 28 0
