// The next line is the dfg name
random7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 3 3 1
MUL 10 10 3
DIV 16 16 5
SQRT 20 20 6
actual latency 190
0 1 13
1 6 5
2 9 11
3 6 20
4 15 48
5 29 33
6 81 10
7 17 2
8 29 34
9 11 7
10 118 0
11 11 20
12 13 30
13 9 0
14 20 6
15 54 9
16 27 47
17 21 44
18 19 2
19 19 14
20 21 43
21 19 25
22 31 2
23 54 10
24 34 23
25 131 1
26 57 25
27 132 1
28 134 19
29 132 0
30 132 4
31 132 45
32 24 23
33 37 2
34 24 11
35 24 5
36 24 24
37 133 12
38 149 2
39 6 4
40 151 8
41 19 26
42 138 43
43 39 0
44 137 2
45 136 6
46 152 2
47 135 29
48 137 1
49 135 1
50 135 31
51 135 41
52 135 22
53 57 36
54 58 43
55 59 1
56 57 5
57 60 30
58 150 17
59 133 13
60 136 10
61 137 3
62 140 34
63 140 37
64 146 3
65 151 1
66 147 24
67 148 2
68 148 1
69 146 35
70 146 34
71 146 38
72 65 45
73 64 41
74 63 37
75 63 23
76 63 10
77 63 36
78 63 25
79 159 0
80 154 8
81 139 30
82 140 38
83 141 0
84 141 1
85 139 10
86 139 15
87 160 36
88 57 19
89 138 44
90 138 5
91 138 14
92 139 11
93 40 12
94 159 2
95 24 15
96 24 1
97 34 2
98 63 0
99 29 26
100 157 30
101 142 6
102 35 18
103 141 4
104 142 5
105 142 24
106 142 7
107 142 8
108 142 0
109 95 45
110 149 15
111 152 24
112 155 11
113 155 0
114 158 26
115 155 3
116 155 20
117 155 29
118 158 2
119 140 35
120 140 36
121 139 9
122 140 3
123 153 25
124 152 34
125 148 8
126 24 25
127 26 39
128 25 12
129 35 0
130 41 7
131 33 2
132 63 40
133 143 2
134 143 11
135 143 31
136 144 0
137 143 12
138 144 1
139 143 33
140 144 2
141 144 42
142 144 44
143 144 39
144 144 40
145 149 29
146 149 31
147 151 7
148 23 8
149 14 14
150 52 12
151 34 26
152 12 4
153 12 5
154 13 1
155 12 0
156 150 18
157 157 1
158 151 40
159 151 27
160 138 4
161 14 0
162 14 7
163 160 17
164 160 0
165 160 5
166 160 7
167 160 37
168 160 39
169 160 18
170 160 19
171 149 32
172 145 28
173 148 13
174 148 14
175 158 6
176 161 21
177 161 10
178 161 2
179 161 3
180 161 1
181 163 5
182 163 46
183 163 25
184 163 1
185 14 36
186 69 39
187 83 2
188 69 38
189 69 0
190 69 1
191 69 40
192 72 10
193 74 1
194 44 15
195 43 0
196 44 16
197 158 0
198 154 15
199 154 16
200 154 6
201 154 0
202 154 7
203 155 2
204 152 38
205 152 44
206 153 26
207 152 45
208 161 29
209 143 29
210 27 48
211 19 28
212 29 27
213 19 29
214 41 8
215 20 0
216 155 17
217 74 8
218 68 31
219 68 0
220 100 27
221 75 9
222 81 11
223 75 1
224 68 32
225 87 16
226 84 46
227 92 31
228 88 25
229 88 28
230 85 0
231 25 2
232 166 36
233 167 3
234 57 9
235 57 4
236 60 47
237 55 15
238 55 16
239 57 10
240 80 35
241 154 1
242 29 0
243 137 0
244 136 32
245 136 24
246 138 25
247 138 26
248 136 33
249 136 42
250 93 28
251 87 10
252 93 38
253 47 8
254 44 24
255 48 5
256 48 9
257 48 10
258 45 39
259 45 40
260 48 11
261 156 23
262 156 33
263 157 2
264 144 43
265 147 0
266 146 11
267 147 1
268 147 2
269 148 6
270 146 37
271 146 12
272 145 23
273 69 10
274 153 2
275 161 23
276 156 27
277 154 2
278 155 1
279 77 16
280 77 2
281 78 5
282 78 9
283 145 27
284 149 9
285 172 0
286 172 37
287 172 36
288 172 1
289 172 3
290 172 17
291 172 15
292 172 4
293 172 5
294 63 11
295 157 5
296 78 30
297 150 2
298 44 0
299 44 34
300 44 22
301 44 1
302 44 23
303 44 35
304 44 2
305 45 38
306 158 25
307 151 21
308 151 6
309 151 41
310 151 28
311 146 36
312 77 44
313 77 6
314 77 0
315 77 7
316 77 1
317 77 45
318 77 8
319 78 4
320 86 2
321 87 0
322 87 5
323 87 1
324 87 9
325 60 0
326 60 1
327 60 5
328 149 10
329 150 19
330 149 0
331 150 20
332 149 3
333 27 11
334 159 34
335 159 4
336 160 20
337 178 3
338 178 9
339 178 33
340 178 34
341 166 20
342 166 4
343 166 2
344 166 21
345 166 5
346 36 13
347 62 2
348 155 18
349 159 15
350 71 45
351 70 0
352 70 3
353 64 3
354 64 12
355 106 15
356 107 16
357 108 17
358 105 41
359 105 42
360 108 18
361 106 0
362 106 1
363 105 43
364 150 0
365 38 21
366 38 0
367 38 32
368 38 33
369 38 34
370 163 45
371 163 0
372 177 4
373 162 24
374 162 27
375 162 43
376 162 4
377 162 44
378 156 1
379 156 31
380 156 2
381 156 21
382 156 4
383 156 32
384 158 1
385 157 0
386 156 22
387 164 16
388 159 16
389 151 43
390 158 14
391 153 14
392 167 0
393 167 1
394 166 22
395 167 2
396 168 0
397 167 40
398 166 23
399 1 3
400 4 0
401 4 14
402 4 32
403 4 33
404 4 15
405 4 31
406 4 16
407 4 3
408 9 41
409 9 9
410 9 4
411 9 45
412 43 2
413 9 27
414 16 12
415 15 11
416 15 9
417 118 2
418 15 45
419 18 2
420 14 37
421 14 27
422 18 11
423 15 2
424 15 10
425 23 1
426 119 20
427 119 23
428 119 15
429 132 2
430 119 36
431 119 37
432 119 24
433 119 40
434 119 10
435 18 0
436 18 9
437 19 16
438 18 4
439 9 44
440 9 10
441 9 42
442 9 1
443 9 14
444 9 28
445 133 30
446 5 35
447 5 7
448 5 6
449 5 34
450 5 0
451 5 1
452 5 2
453 5 18
454 5 17
455 17 1
456 10 18
457 10 3
458 13 2
459 36 20
460 14 25
461 10 32
462 92 7
463 14 16
464 14 39
465 53 8
466 12 10
467 11 0
468 29 35
469 10 12
470 10 1
471 12 9
472 10 0
473 8 2
474 60 11
475 38 1
476 40 3
477 126 2
478 126 0
479 42 1
480 18 5
481 35 6
482 20 38
483 36 10
484 124 16
485 39 45
486 9 43
487 9 46
488 9 15
489 9 2
490 9 47
491 9 16
492 16 19
493 21 9
494 37 12
495 14 24
496 14 6
497 127 1
498 45 2
499 46 2
500 51 10
501 54 4
502 44 14
503 46 0
504 47 27
505 47 28
506 139 45
507 139 46
508 142 2
509 139 0
510 139 1
511 140 22
512 139 19
513 139 2
514 19 23
515 27 45
516 32 8
517 19 0
518 19 1
519 20 40
520 19 3
521 135 0
522 24 10
523 159 1
524 145 47
525 148 25
526 149 1
527 24 0
528 65 2
529 26 38
530 24 14
531 24 22
532 24 4
533 25 30
534 19 15
535 37 3
536 41 13
537 66 46
538 143 0
539 143 32
540 143 13
541 143 10
542 143 3
543 143 1
544 151 2
545 143 9
546 128 41
547 128 4
548 128 2
