// The next line is the dfg name
invert_matrix_general_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 3 3 5
SQRT 4 4 6
actual latency 140
0 96 3
1 34 0
2 35 0
3 36 0
4 101 0
5 126 5
6 30 0
7 91 9
8 111 4
9 116 2
10 121 1
11 49 2
12 73 7
13 91 6
14 103 7
15 121 8
16 70 2
17 97 6
18 103 0
19 116 4
20 131 3
21 25 8
22 46 4
23 66 4
24 71 0
25 31 9
26 40 2
27 43 0
28 61 8
29 86 5
30 79 6
31 85 0
32 86 0
33 87 0
34 91 1
35 111 5
36 116 0
37 96 5
38 109 8
39 131 4
40 21 3
41 36 3
42 55 7
43 76 3
44 26 3
45 41 3
46 56 4
47 76 4
48 82 2
49 46 1
50 66 5
51 72 0
52 91 3
53 97 1
54 109 9
55 100 1
56 105 0
57 131 5
58 19 7
59 31 1
60 43 8
61 71 3
62 31 2
63 40 1
64 56 5
65 64 1
66 85 7
67 43 1
68 66 3
69 81 4
70 88 1
71 91 2
72 94 2
73 115 9
74 103 6
75 121 6
76 127 0
77 61 3
78 66 0
79 67 0
80 68 0
81 13 7
82 37 6
83 46 2
84 61 9
85 73 2
86 49 1
87 55 2
88 64 2
89 76 1
90 101 3
91 116 3
92 33 0
93 103 8
94 121 9
95 5 0
96 10 2
97 31 3
98 13 8
99 22 2
100 26 0
101 46 5
102 1 5
103 19 2
104 22 0
105 7 9
106 19 8
107 25 0
108 43 6
109 67 6
110 1 6
111 7 6
112 13 1
113 1 7
114 11 3
115 16 0
116 19 6
117 1 0
118 6 3
119 11 0
120 1 2
121 4 2
122 7 1
123 13 0
124 25 9
125 1 1
126 7 8
127 16 4
128 2 0
129 3 0
130 13 9
131 25 1
132 1 8
133 11 4
134 16 5
135 6 0
136 8 0
137 13 2
138 25 2
139 28 0
140 1 9
141 11 5
142 16 1
143 7 0
144 9 0
145 14 0
146 31 6
147 7 7
148 16 3
149 25 6
150 4 1
151 13 6
152 25 7
153 31 0
154 43 9
155 16 2
156 19 0
157 36 4
158 17 0
159 20 0
160 37 2
161 55 8
162 23 0
163 52 1
164 55 0
165 6 5
166 31 5
167 55 6
168 62 0
169 63 0
170 10 0
171 19 1
172 28 1
173 4 0
174 7 2
175 26 5
176 46 3
177 6 4
178 22 1
179 34 2
180 12 0
181 26 4
182 37 1
183 43 2
184 51 0
185 21 4
186 37 8
187 61 7
188 81 5
189 36 5
190 55 9
191 67 1
192 76 2
193 88 2
194 61 2
195 86 3
196 91 0
197 94 0
198 97 2
199 116 5
200 103 9
201 109 0
202 136 3
203 37 9
204 52 2
205 58 2
206 79 9
207 55 1
208 61 1
209 67 2
210 82 1
211 88 0
212 58 1
213 64 0
214 85 6
215 92 0
216 106 3
217 111 0
218 121 4
219 100 2
220 103 2
221 126 2
222 18 0
223 41 4
224 61 4
225 76 5
226 19 9
227 41 5
228 61 5
229 81 3
230 96 4
231 51 3
232 56 0
233 73 8
234 91 7
235 111 3
236 121 7
237 121 5
238 126 0
239 128 0
240 1 4
241 21 5
242 34 1
243 49 6
244 1 3
245 10 1
246 31 7
247 49 7
248 73 9
249 21 0
250 51 4
251 67 7
252 73 0
253 91 8
254 109 6
255 115 1
256 106 4
257 115 8
258 122 2
259 56 3
260 61 0
261 79 7
262 97 7
263 43 7
264 67 8
265 79 1
266 101 4
267 106 0
268 73 1
269 76 0
270 77 0
271 101 5
272 109 1
273 112 1
274 118 1
275 37 0
276 126 3
277 131 0
278 86 4
279 93 0
280 94 1
281 99 0
282 70 1
283 74 0
284 97 8
285 104 0
286 106 1
287 29 0
288 91 5
289 106 5
290 112 0
291 113 2
292 119 2
293 103 1
294 106 2
295 122 0
296 15 0
297 31 8
298 49 8
299 71 4
300 28 2
301 32 0
302 51 5
303 67 9
304 85 8
305 37 7
306 61 6
307 79 8
308 85 1
309 95 0
310 109 7
311 126 4
312 121 3
313 126 1
314 132 0
315 24 0
316 27 0
317 91 4
318 96 0
319 31 4
320 49 9
321 71 5
322 85 9
323 97 0
324 73 6
325 79 2
326 82 0
327 85 2
328 98 0
329 115 6
330 97 9
331 115 7
332 136 4
