// The next line is the dfg name
random2_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 4 4 1
MUL 4 4 3
DIV 4 4 5
SQRT 4 4 6
actual latency 94
0 1 1
1 2 0
2 2 1
3 3 12
4 3 2
5 3 1
6 3 3
7 3 0
8 4 14
9 4 0
10 8 2
11 4 2
12 8 3
13 4 3
14 7 1
15 4 15
16 9 1
17 8 6
18 5 2
19 5 5
20 10 15
21 5 0
22 5 10
23 5 6
24 5 3
25 6 1
26 9 2
27 6 11
28 9 12
29 6 0
30 6 2
31 7 4
32 10 2
33 11 11
34 9 3
35 11 2
36 16 14
37 16 13
38 11 3
39 11 0
40 11 1
41 7 0
42 16 4
43 22 0
44 4 4
45 11 6
46 19 8
47 34 15
48 6 3
49 14 1
50 14 3
51 20 9
52 28 14
53 39 3
54 23 0
55 37 4
56 7 2
57 14 6
58 34 2
59 24 8
60 38 5
61 38 6
62 10 13
63 25 9
64 22 3
65 23 6
66 60 0
67 24 3
68 38 7
69 25 10
70 40 1
71 23 2
72 8 7
73 16 2
74 14 0
75 16 15
76 17 2
77 40 13
78 22 2
79 18 0
80 18 1
81 33 12
82 18 2
83 13 4
84 18 3
85 19 0
86 12 2
87 19 1
88 12 1
89 40 14
90 19 2
91 19 3
92 22 14
93 40 2
94 36 3
95 40 3
96 40 4
97 41 1
98 41 5
99 27 3
100 13 2
101 17 5
102 20 10
103 41 2
104 16 11
105 41 3
106 40 15
107 42 1
108 45 12
109 42 2
110 10 3
111 42 3
112 43 1
113 17 6
114 46 13
115 43 2
116 46 14
117 10 1
118 43 3
119 35 10
120 17 7
121 41 6
122 36 0
123 34 0
124 44 1
125 44 2
126 35 2
127 20 6
128 41 7
129 43 4
130 44 3
131 35 0
132 45 1
133 45 2
134 39 12
135 45 3
136 46 1
137 44 5
138 44 6
139 37 1
140 30 10
141 36 11
142 16 1
143 39 8
144 46 2
145 46 3
146 40 9
147 20 7
148 13 1
149 13 0
150 47 1
151 40 10
152 41 11
153 47 2
154 12 0
155 47 3
156 44 8
157 48 1
158 48 2
159 14 7
160 45 9
161 48 3
162 49 1
163 49 2
164 49 3
165 50 1
166 50 2
167 45 10
168 50 3
169 51 1
170 32 5
171 51 2
172 51 3
173 52 1
174 26 6
175 46 15
176 51 12
177 23 3
178 52 13
179 46 11
180 52 2
181 52 3
182 52 14
183 49 8
184 53 1
185 50 9
186 44 7
187 53 2
188 53 3
189 46 4
190 47 5
191 54 1
192 54 2
193 54 3
194 55 1
195 55 2
196 55 3
197 56 1
198 56 2
199 56 3
200 50 10
201 57 1
202 57 2
203 47 6
204 51 11
205 1 4
206 4 8
207 11 5
208 9 0
209 4 13
210 57 3
211 10 9
212 58 1
213 58 2
214 15 2
215 15 12
216 15 1
217 15 3
218 15 10
219 4 1
220 22 4
221 58 3
222 25 3
223 38 1
224 47 7
225 25 0
226 25 2
227 25 1
228 59 1
229 59 2
230 59 3
231 26 0
232 27 1
233 26 3
234 31 1
235 49 4
236 27 12
237 28 4
