// The next line is the dfg name
jpeg_fdct_islow_dfg__6_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 102
0 1 5
1 7 1
2 11 2
3 1 1
4 4 1
5 8 0
6 16 2
7 7 4
8 13 0
9 16 3
10 4 0
11 31 1
12 37 4
13 43 1
14 1 4
15 7 0
16 9 0
17 6 2
18 13 4
19 19 1
20 22 0
21 1 3
22 10 0
23 12 0
24 16 0
25 37 5
26 43 2
27 48 2
28 16 1
29 19 5
30 25 1
31 21 2
32 26 2
33 31 4
34 37 0
35 11 0
36 15 0
37 31 5
38 34 1
39 37 3
40 46 1
41 49 4
42 1 0
43 3 0
44 22 1
45 6 3
46 11 3
47 19 4
48 25 4
49 21 3
50 28 1
51 31 2
52 2 0
53 10 1
54 14 0
55 37 1
56 32 0
57 31 0
58 43 5
59 43 4
60 64 1
61 79 5
62 94 1
63 70 1
64 91 5
65 97 3
66 61 3
67 66 3
68 73 4
69 13 5
70 25 5
71 79 0
72 49 0
73 51 3
74 49 5
75 71 3
76 79 1
77 91 4
78 31 3
79 36 2
80 97 2
81 49 1
82 61 5
83 67 0
84 68 2
85 5 0
86 26 3
87 73 1
88 46 3
89 55 1
90 58 1
91 55 0
92 67 5
93 73 0
94 40 1
95 55 4
96 53 2
97 63 2
98 56 0
99 58 0
100 67 4
101 56 3
102 76 1
103 76 3
104 58 2
105 79 2
106 85 4
107 91 0
108 52 1
109 55 5
110 92 0
111 61 1
112 82 1
113 85 0
114 88 1
115 67 1
116 73 2
117 91 1
118 61 4
119 79 4
120 85 1
121 88 0
122 1 2
123 6 0
124 89 0
125 73 5
126 85 5
127 91 2
128 97 1
129 7 5
130 13 1
131 100 0
132 97 4
133 97 5
