// The next line is the dfg name
random3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 4 4 3
DIV 8 8 5
SQRT 9 9 6
actual latency 203
0 1 13
1 7 8
2 12 8
3 17 8
4 17 4
5 18 0
6 22 8
7 19 6
8 27 1
9 32 0
10 30 18
11 32 14
12 30 0
13 32 13
14 31 0
15 36 1
16 54 2
17 36 7
18 38 15
19 44 10
20 36 0
21 36 18
22 36 5
23 38 4
24 41 4
25 37 8
26 39 0
27 41 21
28 39 19
29 41 5
30 46 7
31 50 0
32 57 1
33 57 2
34 44 14
35 42 18
36 49 6
37 48 2
38 76 0
39 47 0
40 57 3
41 48 9
42 47 8
43 46 5
44 42 1
45 12 2
46 41 7
47 52 8
48 53 21
49 60 1
50 77 0
51 54 18
52 49 10
53 48 18
54 51 2
55 60 2
56 54 11
57 54 6
58 51 1
59 56 7
60 51 20
61 51 17
62 51 7
63 53 9
64 51 19
65 48 1
66 57 20
67 58 0
68 78 0
69 59 6
70 57 17
71 62 8
72 57 0
73 79 0
74 62 14
75 60 3
76 63 1
77 56 4
78 64 10
79 34 0
80 63 2
81 63 0
82 63 19
83 63 17
84 63 9
85 63 20
86 51 5
87 80 0
88 59 12
89 57 8
90 39 3
91 81 0
92 59 0
93 65 4
94 65 21
95 82 0
96 49 11
97 83 0
98 62 0
99 84 0
100 85 0
101 60 18
102 58 9
103 63 3
104 59 4
105 86 0
106 66 1
107 66 5
108 66 2
109 87 0
110 61 0
111 88 0
112 66 3
113 44 12
114 66 18
115 89 0
116 64 6
117 68 13
118 68 14
119 64 0
120 68 15
121 64 12
122 68 16
123 56 5
124 90 0
125 66 7
126 67 8
127 91 0
128 92 0
129 68 9
130 61 5
131 62 13
132 61 7
133 68 4
134 93 0
135 69 1
136 69 2
137 94 0
138 62 4
139 69 3
140 95 0
141 71 4
142 69 6
143 69 10
144 72 1
145 96 0
146 97 0
147 98 0
148 72 2
149 72 3
150 74 4
151 99 0
152 100 0
153 101 0
154 75 1
155 75 2
156 62 16
157 57 19
158 59 21
159 75 3
160 69 11
161 69 12
162 69 17
163 102 0
164 103 0
165 45 17
166 45 19
167 104 0
168 45 20
169 105 0
170 106 0
171 50 14
172 77 4
173 56 13
174 78 1
175 107 0
176 108 0
177 56 14
178 56 15
179 71 5
180 78 2
181 78 3
182 71 7
183 56 16
184 72 8
185 109 0
186 69 19
187 73 9
188 69 20
189 71 21
190 74 6
191 110 0
192 74 10
193 80 4
194 81 1
195 81 2
196 72 18
197 74 11
198 1 5
199 6 5
200 6 1
201 6 18
202 6 3
203 6 2
204 6 0
205 6 7
206 7 0
207 10 0
208 9 17
209 9 0
210 9 11
211 9 10
212 9 1
213 9 19
214 9 2
215 12 0
216 11 7
217 14 11
218 11 5
219 14 12
220 14 15
221 11 0
222 15 19
223 15 20
224 49 12
225 27 2
226 15 3
227 18 3
228 39 10
229 19 12
230 111 0
231 21 7
232 21 20
233 14 14
234 11 4
235 24 18
236 112 0
237 65 0
238 45 2
239 113 0
240 33 0
241 22 0
242 21 0
