// The next line is the dfg name
write_bmp_header_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 3 3 5
SQRT 4 4 6
actual latency 95
0 1 4
1 11 0
2 1 7
3 40 1
4 1 3
5 6 2
6 43 0
7 44 2
8 1 1
9 4 0
10 7 8
11 21 4
12 49 3
13 13 7
14 54 3
15 49 2
16 55 1
17 1 5
18 58 0
19 52 0
20 54 2
21 11 3
22 61 1
23 49 0
24 50 0
25 1 6
26 51 0
27 16 3
28 7 6
29 22 1
30 13 5
31 19 0
32 25 1
33 34 1
34 12 0
35 16 2
36 4 1
37 21 0
38 13 0
39 15 0
40 7 0
41 16 8
42 13 6
43 26 2
44 1 0
45 2 0
46 76 1
47 79 5
48 85 2
49 8 0
50 90 7
51 1 8
52 11 2
53 46 1
54 49 5
55 6 4
56 58 1
57 1 2
58 7 1
59 10 1
60 14 0
61 3 0
62 21 3
63 21 2
64 26 6
65 43 1
66 52 1
67 9 0
68 55 5
69 37 1
70 40 0
71 64 1
72 6 0
73 67 5
74 16 0
75 73 1
76 76 6
77 82 3
78 26 4
79 87 5
80 11 4
81 16 4
82 21 5
83 28 1
84 7 7
85 31 1
86 70 1
87 73 5
88 79 2
89 84 6
90 10 0
91 90 6
92 7 5
93 13 1
94 6 3
95 16 1
96 5 0
97 67 1
98 70 6
99 19 1
100 22 0
101 49 1
102 52 4
103 26 3
104 31 5
105 37 5
