// The next line is the dfg name
interpolate_aux_dfg__12_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 84
0 10 0
1 37 4
2 9 0
3 58 1
4 67 1
5 70 0
6 25 5
7 3 0
8 11 3
9 21 2
10 31 0
11 36 2
12 19 5
13 4 0
14 40 1
15 43 1
16 46 2
17 64 1
18 67 0
19 68 0
20 71 3
21 36 3
22 5 0
23 25 4
24 49 5
25 56 2
26 76 3
27 8 0
28 7 0
29 21 3
30 27 0
31 61 5
32 67 2
33 19 4
34 6 2
35 1 4
36 13 5
37 46 1
38 49 3
39 16 3
40 10 1
41 6 3
42 31 1
43 37 1
44 43 4
45 54 3
46 61 2
47 72 0
48 67 4
49 11 0
50 43 5
51 51 2
52 73 2
53 78 1
54 2 0
55 13 1
56 22 1
57 25 0
58 26 0
59 31 4
60 1 0
61 1 2
62 1 1
63 7 4
64 13 4
65 19 1
66 7 1
67 1 3
68 4 1
69 11 2
70 16 1
71 19 0
72 25 1
73 31 5
74 61 4
75 26 2
76 49 1
77 52 1
78 55 1
79 59 3
80 79 4
81 6 0
82 16 2
83 28 1
84 31 2
85 55 4
86 73 4
87 12 0
88 49 4
89 26 3
90 55 0
91 56 0
92 57 0
93 34 1
94 1 5
95 7 5
96 13 0
97 37 5
98 61 1
99 67 5
100 73 1
101 81 1
102 70 1
103 55 5
104 31 3
105 73 5
106 79 0
107 84 0
