// The next line is the dfg name
matmul_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 68
0 1 1
1 4 0
2 7 1
3 13 3
4 1 0
5 7 3
6 13 0
7 14 0
8 1 2
9 6 0
10 8 0
11 10 1
12 12 0
13 20 0
14 21 2
15 33 0
16 15 0
17 21 0
18 22 1
19 25 1
20 16 0
21 22 0
22 24 0
23 31 2
24 36 0
25 17 0
26 23 0
27 25 0
28 37 3
29 51 2
30 4 1
31 27 0
32 49 3
33 58 1
34 61 0
35 34 0
36 55 3
37 62 0
38 64 0
39 2 0
40 6 2
41 11 0
42 19 0
43 3 0
44 5 0
45 9 0
46 18 0
47 31 3
48 7 0
49 10 0
50 25 3
51 31 0
52 43 1
53 28 0
54 29 0
55 31 1
56 37 0
57 61 2
58 19 1
59 56 2
60 63 0
61 66 0
62 19 3
63 26 2
64 34 1
65 38 0
66 11 2
67 16 1
68 30 0
69 46 1
70 55 1
71 39 0
72 40 0
73 41 0
74 42 0
75 58 0
76 16 2
77 32 0
78 35 0
79 61 3
80 67 0
81 37 1
82 49 1
83 61 1
84 68 0
85 26 0
86 28 1
87 41 2
88 46 0
89 43 3
90 49 0
91 50 0
92 51 0
93 52 0
94 1 3
95 13 1
96 36 2
97 46 2
98 53 0
99 40 1
100 52 1
101 55 0
102 56 0
103 57 0
104 43 0
105 44 0
106 45 0
107 59 0
108 47 0
