// The next line is the dfg name
matmul_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 101
0 16 2
1 22 0
2 31 3
3 37 5
4 10 0
5 13 5
6 21 2
7 26 0
8 1 5
9 9 0
10 37 1
11 41 2
12 12 0
13 58 1
14 73 4
15 79 1
16 1 1
17 6 3
18 11 2
19 46 2
20 1 0
21 2 0
22 4 0
23 31 4
24 51 0
25 13 1
26 19 1
27 25 1
28 49 4
29 55 4
30 11 3
31 16 1
32 19 4
33 82 3
34 87 0
35 1 3
36 7 4
37 13 0
38 88 0
39 40 1
40 43 4
41 49 1
42 52 0
43 31 1
44 34 1
45 38 0
46 55 1
47 61 4
48 11 0
49 36 2
50 43 5
51 49 0
52 67 2
53 5 0
54 6 0
55 21 3
56 82 0
57 83 5
58 26 2
59 31 5
60 37 0
61 91 1
62 25 4
63 61 5
64 67 4
65 73 2
66 7 5
67 16 3
68 21 0
69 31 2
70 78 2
71 22 1
72 25 0
73 43 1
74 52 1
75 88 1
76 67 5
77 73 1
78 76 1
79 82 4
80 91 3
81 36 3
82 41 3
83 46 3
84 96 4
85 1 2
86 6 2
87 13 4
88 43 0
89 1 4
90 7 0
91 10 1
92 28 1
93 46 1
94 19 5
95 26 3
96 37 4
97 49 5
98 55 0
99 25 5
100 55 5
101 61 2
102 82 1
103 85 1
104 3 0
105 4 1
106 8 0
107 88 2
108 7 1
