// The next line is the dfg name
write_bmp_header_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 3 3 5
SQRT 4 4 6
actual latency 78
0 6 2
1 11 0
2 1 5
3 10 1
4 1 2
5 6 3
6 13 0
7 16 3
8 49 1
9 52 0
10 1 7
11 36 3
12 21 4
13 1 8
14 36 4
15 26 2
16 52 1
17 25 6
18 55 0
19 21 0
20 26 3
21 26 4
22 58 1
23 22 0
24 23 0
25 25 7
26 31 0
27 31 2
28 13 7
29 61 1
30 13 6
31 19 0
32 43 1
33 64 1
34 14 0
35 36 2
36 55 1
37 58 0
38 12 0
39 15 0
40 2 0
41 25 8
42 7 8
43 41 2
44 9 0
45 10 0
46 4 1
47 7 7
48 16 4
49 3 0
50 31 5
51 1 6
52 11 2
53 16 1
54 19 7
55 31 3
56 67 1
57 6 4
58 19 1
59 25 1
60 28 0
61 8 0
62 41 3
63 1 3
64 7 6
65 22 1
66 28 1
67 4 0
68 31 6
69 13 1
70 16 0
71 31 1
72 5 0
73 37 5
74 1 0
75 7 1
76 13 5
77 21 2
78 21 3
79 31 7
80 1 4
81 11 3
82 19 5
83 46 1
84 13 8
85 70 1
86 1 1
87 7 5
88 16 2
89 25 5
90 6 0
91 31 8
92 19 8
93 73 1
94 31 4
95 76 1
96 7 0
97 34 1
98 37 6
99 37 1
100 40 0
101 40 1
102 43 4
103 11 4
104 19 6
105 37 7
