// The next line is the dfg name
collapse_pyr_dfg__113_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 2 2 3
DIV 2 2 5
SQRT 2 2 6
actual latency 23
0 1 0
1 2 5
2 10 3
3 14 1
4 15 1
5 2 0
6 1 1
7 2 1
8 3 0
9 4 3
10 9 0
11 10 1
12 1 6
13 7 0
14 8 0
15 10 2
16 13 5
17 18 5
18 1 2
19 4 0
20 6 4
21 11 4
22 16 1
23 17 1
24 3 1
25 4 2
26 7 1
27 8 1
28 13 6
29 19 2
30 22 0
31 4 1
32 5 0
33 7 6
34 13 1
35 14 0
36 15 0
37 1 4
38 6 7
39 12 0
40 13 0
41 5 1
42 14 3
43 17 0
44 6 0
45 7 3
46 10 0
47 13 2
48 16 0
49 17 4
50 7 2
51 12 7
52 18 0
53 19 0
54 20 3
55 23 0
