// The next line is the dfg name
feedback_points_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 2 2 5
SQRT 3 3 6
actual latency 35
0 1 3
1 1 1
2 1 0
3 4 0
4 7 5
5 13 6
6 21 3
7 2 0
8 6 3
9 1 5
10 11 1
11 14 4
12 19 7
13 26 1
14 6 0
15 7 0
16 29 0
17 3 0
18 1 6
19 4 1
20 7 1
21 10 0
22 25 5
23 31 2
24 11 3
25 16 3
26 34 0
27 7 6
28 1 4
29 1 2
30 7 7
31 19 5
32 26 3
33 31 0
34 7 2
35 25 6
36 32 0
37 5 0
38 6 4
39 1 7
40 11 2
41 14 1
42 17 1
43 4 2
44 19 6
45 31 3
46 13 5
47 19 4
48 29 4
49 13 7
50 24 4
51 29 1
52 35 0
