// The next line is the dfg name
idctcol_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 67
0 1 0
1 6 2
2 11 5
3 17 0
4 19 1
5 2 0
6 3 0
7 5 0
8 1 2
9 11 0
10 14 0
11 9 0
12 12 0
13 15 0
14 1 1
15 4 0
16 7 1
17 6 0
18 10 0
19 11 2
20 8 0
21 13 1
22 16 0
23 22 3
24 23 0
25 4 1
26 10 1
27 13 0
28 18 0
29 19 2
30 24 5
31 7 0
32 14 4
33 21 0
34 16 1
35 19 0
36 17 5
37 20 0
38 27 2
39 28 1
40 33 0
41 30 0
42 22 0
43 25 1
44 30 5
45 36 0
46 21 4
47 27 0
48 28 0
49 31 1
50 35 0
51 40 0
52 42 0
53 46 0
54 49 0
55 22 1
56 26 0
57 61 1
58 38 0
59 43 3
60 50 0
61 52 0
62 54 0
63 1 4
64 55 0
65 62 0
66 34 0
67 37 1
68 44 0
69 46 1
70 56 0
71 29 0
72 57 0
73 63 0
74 31 3
75 36 2
76 41 2
77 49 1
78 58 0
79 1 3
80 7 4
81 64 0
82 31 0
83 32 0
84 36 5
85 47 0
86 52 1
87 25 0
88 55 1
89 65 0
90 34 1
91 37 0
92 38 3
93 43 1
94 59 0
95 53 0
96 60 0
97 66 0
98 39 0
99 41 0
100 45 0
101 48 0
102 58 1
103 1 5
104 61 0
105 67 0
106 33 4
107 40 1
108 43 0
109 46 2
110 51 0
111 24 0
112 27 4
113 64 1
