// The next line is the dfg name
invert_matrix_general_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 3 3 1
MUL 3 3 3
DIV 3 3 5
SQRT 3 3 6
actual latency 73
0 37 5
1 42 2
2 43 1
3 44 0
4 45 0
5 46 2
6 24 2
7 51 7
8 58 3
9 63 1
10 64 1
11 23 2
12 31 3
13 36 8
14 49 11
15 55 4
16 29 2
17 56 7
18 65 1
19 66 4
20 69 1
21 34 5
22 38 0
23 40 5
24 43 0
25 43 11
26 50 0
27 51 1
28 56 6
29 61 3
30 55 11
31 63 2
32 64 2
33 65 0
34 66 1
35 67 2
36 68 0
37 49 3
38 56 8
39 69 0
40 22 1
41 28 5
42 49 9
43 55 2
44 10 5
45 19 5
46 22 4
47 25 5
48 56 2
49 32 2
50 33 0
51 34 1
52 35 1
53 57 1
54 61 7
55 44 2
56 45 1
57 66 3
58 11 7
59 17 2
60 19 11
61 25 3
62 24 1
63 25 2
64 26 1
65 27 1
66 31 7
67 33 2
68 35 2
69 36 1
70 38 1
71 39 0
72 40 0
73 41 6
74 51 6
75 61 9
76 67 1
77 31 5
78 34 0
79 35 0
80 36 0
81 1 11
82 7 11
83 13 1
84 16 6
85 37 1
86 26 2
87 28 2
88 29 1
89 30 0
90 40 4
91 43 4
92 30 2
93 61 10
94 67 6
95 9 1
96 10 2
97 16 3
98 11 6
99 16 2
100 17 1
101 19 3
102 1 4
103 5 1
104 6 1
105 1 7
106 6 6
107 11 1
108 13 9
109 25 9
110 1 9
111 7 9
112 13 0
113 1 6
114 6 0
115 7 0
116 19 9
117 1 1
118 4 3
119 7 1
120 2 1
121 3 0
122 4 0
123 8 0
124 26 6
125 1 0
126 6 7
127 13 3
128 1 2
129 2 0
130 7 10
131 16 0
132 1 10
133 7 3
134 10 0
135 3 1
136 5 2
137 6 2
138 11 0
139 17 0
140 6 8
141 13 4
142 16 1
143 12 0
144 14 0
145 15 0
146 21 6
147 1 8
148 7 4
149 13 10
150 2 2
151 4 4
152 13 11
153 19 0
154 28 3
155 15 2
156 18 1
157 19 2
158 18 2
159 20 1
160 21 0
161 31 10
162 24 0
163 25 1
164 26 0
165 12 2
166 16 5
167 21 8
168 27 0
169 37 2
170 3 2
171 7 2
172 8 1
173 8 2
174 9 0
175 10 1
176 13 5
177 14 2
178 15 1
179 18 0
180 9 2
181 10 3
182 13 2
183 19 1
184 20 0
185 20 2
186 31 11
187 37 10
188 43 5
189 34 4
190 41 8
191 46 1
192 47 0
193 48 0
194 36 2
195 52 5
196 59 1
197 60 2
198 61 2
199 62 1
200 61 11
201 68 1
202 69 3
203 16 8
204 22 2
205 23 0
206 41 7
207 38 2
208 39 1
209 41 2
210 42 0
211 46 0
212 33 1
213 34 2
214 49 4
215 52 0
216 53 0
217 54 0
218 55 3
219 45 2
220 47 1
221 58 0
222 23 1
223 31 4
224 34 3
225 37 0
226 10 4
227 19 4
228 22 3
229 25 4
230 40 3
231 22 5
232 25 0
233 26 7
234 31 6
235 43 3
236 46 3
237 43 2
238 44 1
239 49 0
240 1 5
241 4 2
242 5 0
243 19 10
244 1 3
245 4 1
246 7 5
247 31 9
248 37 9
249 21 2
250 22 0
251 26 8
252 31 0
253 46 6
254 52 3
255 55 0
256 30 1
257 46 8
258 56 0
259 28 4
260 32 0
261 36 7
262 43 9
263 37 11
264 43 10
265 49 2
266 52 4
267 55 1
268 39 2
269 40 2
270 41 1
271 46 4
272 56 1
273 57 0
274 58 1
275 42 1
276 58 4
277 61 1
278 49 5
279 52 1
280 53 1
281 54 1
282 27 2
283 28 0
284 51 8
285 58 2
286 59 0
287 32 1
288 37 4
289 46 5
290 49 1
291 60 1
292 61 0
293 47 2
294 48 1
295 62 0
296 11 2
297 16 7
298 21 7
299 31 2
300 12 1
301 14 1
302 16 4
303 25 10
304 36 6
305 4 5
306 11 8
307 25 11
308 31 1
309 41 0
310 46 7
311 51 0
312 55 5
313 59 2
314 60 0
315 28 1
316 29 0
317 37 3
318 40 1
319 21 1
320 49 10
321 57 2
322 61 6
323 66 0
324 55 10
325 62 2
326 63 0
327 64 0
328 67 0
329 68 5
330 31 8
331 55 9
332 71 4
