// The next line is the dfg name
jpeg_fdct_islow_dfg__6_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 2 2 3
DIV 2 2 5
SQRT 2 2 6
actual latency 48
0 1 4
1 6 0
2 7 2
3 9 0
4 10 0
5 11 1
6 13 2
7 1 5
8 6 1
9 7 3
10 7 1
11 8 0
12 19 7
13 25 1
14 1 3
15 4 0
16 5 0
17 1 1
18 6 5
19 11 0
20 12 0
21 16 2
22 20 0
23 21 0
24 10 1
25 13 3
26 16 1
27 22 2
28 2 1
29 11 5
30 16 0
31 1 2
32 4 2
33 11 4
34 17 0
35 3 1
36 7 0
37 13 7
38 9 1
39 10 3
40 13 0
41 26 4
42 3 0
43 4 1
44 5 1
45 1 0
46 2 0
47 6 4
48 13 6
49 4 3
50 8 1
51 10 2
52 12 1
53 13 1
54 14 0
55 15 0
56 19 1
57 19 0
58 19 6
59 21 4
60 25 0
61 26 7
62 32 1
63 15 1
64 16 4
65 34 2
66 25 2
67 28 0
68 29 5
69 1 6
70 7 6
71 34 1
72 26 0
73 28 2
74 21 5
75 31 2
76 34 0
77 35 5
78 18 0
79 19 2
80 40 2
81 26 1
82 31 6
83 37 0
84 38 0
85 18 1
86 19 3
87 39 0
88 28 3
89 33 1
90 27 1
91 31 1
92 32 3
93 35 0
94 17 1
95 37 6
96 25 3
97 27 0
98 31 0
99 35 1
100 32 7
101 33 0
102 38 1
103 36 0
104 32 0
105 39 1
106 40 5
107 45 0
108 14 1
109 25 6
110 46 0
111 43 0
112 44 1
113 45 1
114 47 1
115 22 0
116 23 0
117 48 1
118 37 4
119 43 2
120 46 1
121 47 0
122 16 3
123 20 1
124 48 0
125 32 4
126 37 2
127 40 0
128 41 3
129 16 5
130 21 1
131 44 0
132 1 7
133 7 7
