// The next line is the dfg name
jpeg_fdct_islow_dfg__6_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 3 3 5
SQRT 3 3 6
actual latency 72
0 1 6
1 7 1
2 11 5
3 4 1
4 7 2
5 11 0
6 21 4
7 1 7
8 8 0
9 16 5
10 3 0
11 4 2
12 19 6
13 25 1
14 1 8
15 9 0
16 10 0
17 1 5
18 7 7
19 13 2
20 18 0
21 11 3
22 16 0
23 17 0
24 1 0
25 7 6
26 16 3
27 21 3
28 1 1
29 7 8
30 16 1
31 1 3
32 6 3
33 13 6
34 19 0
35 2 0
36 4 0
37 13 8
38 1 2
39 11 4
40 16 2
41 19 8
42 5 0
43 6 0
44 10 1
45 1 4
46 6 4
47 13 7
48 19 7
49 6 5
50 13 1
51 16 4
52 7 0
53 10 2
54 13 0
55 22 1
56 27 0
57 26 0
58 25 7
59 25 6
60 31 2
61 37 7
62 43 1
63 19 1
64 43 8
65 49 5
66 36 4
67 41 5
68 55 7
69 37 8
70 55 8
71 61 0
72 31 0
73 36 3
74 31 7
75 41 4
76 46 1
77 49 7
78 21 5
79 26 4
80 56 3
81 31 1
82 43 7
83 49 0
84 51 4
85 12 0
86 26 5
87 57 1
88 31 3
89 28 2
90 28 1
91 28 0
92 31 6
93 37 0
94 25 2
95 25 8
96 26 3
97 31 4
98 41 0
99 32 0
100 31 8
101 31 5
102 38 1
103 41 3
104 46 3
105 51 3
106 61 6
107 67 0
108 22 2
109 61 7
110 68 0
111 34 1
112 46 2
113 50 0
114 51 1
115 19 2
116 36 5
117 54 1
118 37 6
119 49 8
120 55 2
121 58 0
122 46 4
123 51 0
124 59 0
125 43 6
126 49 6
127 55 5
128 60 1
129 55 6
130 61 2
131 64 0
132 61 8
133 67 6
