// The next line is the dfg name
matmul_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 2 2 3
DIV 2 2 5
SQRT 2 2 6
actual latency 39
0 1 2
1 4 0
2 7 2
3 13 6
4 1 0
5 7 6
6 13 0
7 14 0
8 1 4
9 6 0
10 7 0
11 10 2
12 5 1
13 6 1
14 21 4
15 26 1
16 8 1
17 9 1
18 13 2
19 19 2
20 10 0
21 11 1
22 12 0
23 16 5
24 22 0
25 7 1
26 8 0
27 9 0
28 13 7
29 26 4
30 1 3
31 5 0
32 19 6
33 28 2
34 31 0
35 16 1
36 25 7
37 32 0
38 33 0
39 1 1
40 6 4
41 11 0
42 19 0
43 2 0
44 3 0
45 4 1
46 15 0
47 25 6
48 2 1
49 3 1
50 7 7
51 13 1
52 31 2
53 16 0
54 17 0
55 19 3
56 27 0
57 34 4
58 4 2
59 26 5
60 31 1
61 39 0
62 1 7
63 11 5
64 16 2
65 19 1
66 1 5
67 10 3
68 14 1
69 16 3
70 22 2
71 17 1
72 18 0
73 20 0
74 21 0
75 25 0
76 6 5
77 12 1
78 15 1
79 31 6
80 37 0
81 4 3
82 22 3
83 25 2
84 38 0
85 10 1
86 13 3
87 21 5
88 26 0
89 19 7
90 25 1
91 27 1
92 28 0
93 29 0
94 1 6
95 7 3
96 11 4
97 16 4
98 30 0
99 25 3
100 28 3
101 32 1
102 33 1
103 34 0
104 18 1
105 20 1
106 21 1
107 35 0
108 22 1
