// The next line is the dfg name
smooth_color_z_triangle_dfg__31_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 4 4 5
SQRT 4 4 6
actual latency 89
0 31 4
1 30 0
2 34 1
3 22 2
4 26 4
5 37 1
6 40 2
7 43 8
8 19 8
9 11 6
10 19 2
11 25 7
12 31 1
13 34 6
14 40 1
15 49 2
16 52 2
17 32 0
18 26 0
19 1 8
20 16 2
21 27 0
22 33 0
23 43 9
24 19 10
25 7 8
26 25 1
27 29 0
28 31 10
29 37 3
30 42 3
31 49 7
32 55 9
33 26 6
34 61 9
35 67 8
36 34 0
37 37 0
38 61 7
39 73 7
40 79 4
41 84 7
42 49 9
43 61 8
44 67 2
45 12 0
46 43 2
47 55 3
48 70 2
49 73 1
50 37 2
51 11 4
52 6 4
53 13 2
54 17 0
55 40 4
56 45 4
57 3 0
58 7 1
59 1 5
60 7 7
61 16 3
62 21 0
63 24 0
64 55 8
65 62 4
66 1 10
67 1 6
68 1 4
69 6 3
70 13 1
71 16 0
72 19 7
73 14 0
74 28 1
75 7 2
76 10 2
77 31 8
78 37 9
79 43 1
80 46 6
81 51 0
82 10 0
83 16 5
84 67 3
85 6 5
86 11 0
87 55 7
88 74 0
89 75 2
90 78 1
91 13 10
92 21 4
93 52 1
94 13 8
95 21 3
96 67 1
97 70 1
98 73 0
99 4 1
100 1 0
101 1 7
102 8 0
103 11 3
104 16 1
105 19 1
106 1 3
107 1 2
108 1 1
109 4 0
110 5 0
111 6 0
112 7 0
113 22 0
114 23 0
115 18 0
116 15 0
117 4 2
118 10 1
119 16 4
120 22 1
121 26 3
122 13 9
123 21 5
124 6 6
125 13 7
126 31 7
127 37 7
128 43 5
129 49 1
130 52 4
131 28 2
132 31 3
133 36 0
134 2 0
135 13 0
136 58 1
137 61 5
138 66 10
139 72 0
140 46 2
141 49 5
142 57 4
143 49 10
144 55 5
145 60 3
146 65 0
147 67 7
148 26 5
149 25 0
150 11 5
151 25 2
152 28 0
153 37 10
154 43 7
155 34 2
156 7 10
157 16 6
158 25 8
159 31 9
160 37 8
161 43 0
162 49 0
163 55 10
164 43 10
165 31 0
166 7 9
167 20 0
168 32 5
169 49 3
170 55 2
171 46 1
172 21 6
173 19 0
174 25 10
175 31 2
176 55 1
177 58 0
178 59 6
179 64 1
180 19 9
181 25 9
182 61 0
183 1 9
184 9 0
185 67 0
186 68 4
187 75 0
188 76 3
189 35 0
190 61 1
191 67 9
192 49 8
193 58 2
194 62 0
195 73 8
196 79 5
