// The next line is the dfg name
write_bmp_header_dfg__7_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 3 3 1
MUL 3 3 3
DIV 3 3 5
SQRT 3 3 6
actual latency 25
0 1 3
1 4 0
2 1 6
3 6 0
4 1 1
5 2 0
6 7 0
7 8 0
8 16 0
9 17 0
10 1 8
11 6 2
12 10 3
13 1 7
14 13 9
15 9 1
16 10 1
17 19 5
18 22 1
19 9 0
20 11 6
21 4 5
22 16 6
23 9 2
24 10 2
25 19 10
26 25 0
27 10 4
28 19 4
29 22 2
30 6 7
31 11 1
32 18 1
33 19 0
34 5 0
35 7 4
36 18 2
37 19 1
38 5 1
39 6 1
40 15 2
41 16 4
42 1 10
43 7 5
44 16 1
45 17 1
46 2 2
47 4 4
48 7 1
49 8 1
50 11 7
51 1 9
52 7 3
53 10 0
54 13 4
55 19 3
56 22 0
57 12 2
58 13 1
59 14 0
60 15 0
61 18 0
62 19 2
63 1 4
64 6 6
65 11 0
66 12 0
67 12 1
68 16 7
69 3 1
70 4 1
71 5 2
72 8 2
73 13 11
74 2 1
75 3 0
76 6 8
77 11 2
78 10 5
79 13 5
80 1 2
81 4 3
82 7 11
83 13 0
84 16 8
85 21 0
86 1 0
87 7 9
88 13 3
89 16 3
90 14 2
91 19 9
92 1 11
93 7 2
94 16 2
95 17 2
96 3 2
97 4 2
98 11 8
99 13 2
100 14 1
101 15 1
102 16 5
103 1 5
104 7 10
105 13 10
