// The next line is the dfg name
feedback_points_dfg__7_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 2 2 3
DIV 1 1 5
SQRT 2 2 6
actual latency 30
0 3 1
1 2 1
2 3 0
3 4 0
4 6 4
5 11 0
6 12 0
7 2 0
8 1 1
9 1 5
10 7 0
11 8 3
12 11 4
13 16 2
14 10 0
15 11 1
16 19 0
17 9 1
18 16 4
19 5 1
20 21 0
21 22 0
22 23 3
23 26 0
24 4 2
25 7 2
26 27 0
27 1 6
28 1 2
29 1 0
30 7 5
31 13 5
32 19 1
33 20 0
34 5 0
35 13 6
36 21 2
37 6 1
38 1 3
39 1 4
40 6 0
41 7 1
42 8 0
43 4 1
44 21 4
45 26 4
46 4 3
47 8 1
48 9 0
49 7 6
50 13 2
51 16 0
52 17 0
