// The next line is the dfg name
feedback_points_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 2 2 5
SQRT 3 3 6
actual latency 42
0 16 4
1 4 1
2 6 0
3 7 0
4 21 7
5 27 6
6 33 4
7 5 0
8 6 4
9 7 6
10 13 2
11 16 3
12 21 6
13 38 1
14 1 0
15 2 0
16 41 0
17 3 0
18 1 5
19 1 1
20 7 1
21 10 0
22 13 5
23 38 2
24 1 3
25 6 3
26 42 0
27 1 7
28 11 4
29 4 2
30 19 5
31 25 5
32 31 3
33 38 0
34 1 2
35 7 5
36 39 0
37 4 0
38 1 4
39 7 7
40 13 1
41 16 2
42 19 1
43 7 2
44 13 7
45 22 4
46 13 6
47 21 3
48 26 3
49 1 6
50 11 3
51 16 1
52 31 0
