// The next line is the dfg name
h2v2_smooth_downsample_dfg__6_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 2 2 6
actual latency 79
0 36 2
1 41 2
2 46 2
3 51 4
4 16 1
5 57 4
6 1 2
7 6 0
8 63 1
9 7 0
10 13 4
11 31 2
12 36 1
13 19 3
14 39 1
15 19 1
16 22 4
17 42 3
18 6 2
19 13 3
20 48 3
21 1 1
22 4 0
23 54 3
24 4 1
25 11 2
26 60 2
27 1 3
28 7 1
29 66 1
30 69 1
31 7 4
32 13 1
33 3 0
34 5 0
35 16 2
36 1 4
37 10 1
38 21 2
39 2 0
40 7 3
41 26 2
42 72 1
43 66 2
44 75 0
45 76 0
46 77 0
47 78 0
48 79 0
49 1 0
50 51 2
