// The next line is the dfg name
idctcol_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 67
0 1 0
1 6 2
2 11 5
3 17 0
4 19 1
5 2 0
6 3 0
7 5 0
8 1 2
9 7 0
10 8 0
11 12 0
12 14 0
13 15 0
14 1 1
15 4 0
16 7 1
17 6 0
18 10 0
19 11 2
20 11 0
21 13 1
22 18 0
23 22 2
24 22 0
25 4 1
26 10 1
27 13 0
28 23 0
29 24 3
30 31 5
31 9 0
32 14 4
33 20 0
34 16 1
35 16 0
36 19 5
37 19 0
38 27 2
39 28 1
40 42 0
41 39 0
42 21 0
43 22 1
44 25 5
45 33 0
46 20 4
47 26 0
48 27 0
49 31 1
50 34 0
51 35 0
52 36 0
53 37 0
54 38 0
55 25 1
56 60 0
57 65 1
58 45 0
59 47 3
60 52 0
61 53 0
62 54 0
63 1 4
64 28 0
65 55 0
66 40 0
67 56 1
68 59 0
69 62 1
70 65 0
71 64 0
72 66 0
73 67 0
74 31 3
75 36 2
76 41 2
77 47 1
78 50 0
79 1 3
80 7 4
81 51 0
82 31 0
83 32 0
84 37 5
85 43 0
86 44 1
87 25 0
88 34 1
89 48 0
90 41 1
91 44 0
92 46 2
93 53 1
94 56 0
95 30 0
96 61 0
97 62 0
98 46 0
99 49 0
100 57 0
101 58 0
102 59 1
103 1 5
104 29 0
105 63 0
106 32 4
107 38 1
108 41 0
109 42 3
110 47 0
111 24 0
112 26 4
113 50 1
