// The next line is the dfg name
interpolate_aux_dfg__12_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 2 2 3
DIV 3 3 5
SQRT 3 3 6
actual latency 34
0 24 1
1 6 6
2 21 1
3 22 1
4 25 0
5 26 0
6 6 5
7 6 0
8 7 3
9 10 3
10 14 0
11 15 0
12 1 7
13 6 1
14 8 0
15 9 0
16 10 2
17 13 1
18 16 1
19 17 0
20 28 3
21 19 3
22 23 0
23 1 9
24 24 8
25 31 2
26 34 0
27 12 1
28 8 1
29 13 3
30 18 1
31 19 5
32 25 2
33 1 6
34 2 0
35 1 4
36 7 7
37 13 0
38 16 2
39 4 2
40 2 1
41 1 2
42 4 0
43 7 1
44 13 8
45 19 2
46 22 2
47 28 0
48 7 9
49 23 1
50 11 5
51 24 0
52 25 3
53 29 0
54 14 1
55 9 1
56 10 0
57 11 0
58 15 1
59 16 4
60 5 0
61 1 1
62 1 0
63 6 4
64 13 7
65 19 0
66 10 1
67 3 0
68 3 1
69 13 2
70 17 1
71 18 0
72 20 0
73 21 4
74 28 2
75 22 3
76 25 1
77 26 1
78 27 0
79 30 0
80 31 0
81 19 1
82 1 3
83 4 1
84 7 2
85 20 7
86 26 7
87 20 1
88 1 8
89 11 1
90 12 0
91 21 0
92 22 0
93 5 1
94 1 5
95 4 3
96 7 0
97 11 4
98 16 0
99 24 5
100 29 1
101 32 0
102 27 1
103 7 8
104 16 3
105 19 6
106 28 1
107 33 0
