// The next line is the dfg name
interpolate_aux_dfg__12_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 3 3 5
SQRT 3 3 6
actual latency 72
0 6 0
1 13 8
2 5 0
3 19 1
4 22 1
5 25 0
6 1 7
7 4 0
8 1 5
9 6 3
10 11 0
11 16 3
12 13 6
13 3 0
14 1 2
15 4 1
16 21 4
17 28 1
18 31 0
19 32 0
20 33 5
21 26 4
22 19 0
23 37 8
24 43 7
25 49 4
26 54 4
27 10 0
28 2 0
29 6 4
30 12 0
31 13 7
32 21 3
33 19 8
34 11 4
35 25 6
36 31 7
37 37 2
38 40 4
39 11 3
40 7 1
41 6 5
42 13 1
43 16 1
44 19 7
45 45 3
46 50 3
47 55 0
48 25 7
49 16 0
50 25 8
51 31 3
52 36 3
53 56 1
54 18 0
55 7 2
56 10 1
57 17 0
58 21 0
59 43 8
60 20 0
61 16 5
62 28 2
63 37 7
64 43 6
65 49 1
66 10 2
67 11 5
68 16 2
69 26 3
70 31 1
71 34 0
72 52 1
73 55 6
74 61 6
75 26 5
76 19 2
77 22 2
78 25 2
79 31 4
80 67 6
81 15 0
82 16 4
83 13 2
84 21 5
85 31 8
86 37 6
87 1 0
88 1 6
89 1 3
90 7 0
91 8 0
92 9 0
93 4 2
94 7 7
95 7 8
96 14 0
97 19 6
98 25 1
99 31 6
100 37 1
101 43 1
102 1 1
103 1 8
104 1 4
105 7 6
106 13 0
107 46 0
