// The next line is the dfg name
invert_matrix_general_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 3 3 3
DIV 5 5 5
SQRT 7 7 6
actual latency 111
0 41 8
1 1 0
2 2 0
3 3 0
4 46 0
5 66 6
6 35 0
7 36 11
8 46 4
9 52 1
10 55 1
11 70 1
12 73 12
13 79 12
14 85 11
15 91 10
16 34 2
17 37 9
18 44 0
19 51 8
20 66 5
21 1 14
22 11 5
23 16 5
24 28 0
25 1 13
26 19 3
27 37 0
28 38 13
29 46 5
30 1 9
31 8 0
32 12 0
33 18 0
34 52 2
35 56 4
36 61 0
37 41 7
38 46 13
39 66 4
40 36 6
41 41 4
42 46 12
43 56 7
44 11 8
45 16 7
46 26 7
47 31 8
48 61 2
49 31 2
50 36 4
51 51 0
52 61 8
53 67 2
54 70 10
55 13 2
56 21 0
57 77 4
58 7 12
59 34 3
60 37 12
61 46 6
62 25 3
63 28 1
64 31 7
65 37 3
66 51 9
67 22 3
68 26 4
69 31 4
70 37 1
71 58 3
72 61 1
73 64 9
74 7 14
75 13 10
76 70 0
77 1 8
78 22 0
79 32 0
80 53 0
81 19 14
82 25 13
83 55 3
84 58 10
85 64 1
86 31 3
87 46 1
88 52 3
89 64 2
90 67 7
91 72 5
92 65 0
93 66 14
94 77 10
95 48 0
96 49 1
97 56 6
98 1 15
99 28 2
100 41 0
101 61 4
102 6 7
103 31 1
104 52 0
105 7 15
106 13 13
107 49 0
108 53 12
109 66 11
110 19 15
111 25 14
112 67 3
113 19 13
114 36 8
115 67 0
116 70 9
117 50 0
118 51 5
119 64 0
120 43 3
121 46 3
122 55 2
123 66 0
124 76 9
125 49 3
126 52 11
127 61 5
128 40 0
129 54 0
130 55 13
131 67 1
132 13 15
133 21 8
134 26 6
135 33 0
136 38 0
137 43 1
138 46 2
139 71 0
140 13 14
141 21 7
142 49 2
143 34 0
144 39 0
145 60 0
146 61 12
147 7 13
148 16 6
149 25 11
150 43 2
151 46 11
152 52 10
153 58 0
154 67 12
155 16 3
156 29 0
157 31 5
158 17 0
159 24 0
160 25 1
161 36 10
162 9 0
163 10 2
164 13 0
165 6 5
166 11 4
167 19 9
168 25 0
169 42 0
170 31 0
171 34 1
172 40 2
173 36 0
174 40 3
175 46 7
176 51 4
177 6 6
178 19 2
179 22 2
180 30 0
181 31 6
182 37 2
183 40 1
184 56 0
185 36 7
186 41 14
187 47 14
188 56 5
189 6 8
190 13 11
191 25 2
192 73 1
193 76 1
194 16 2
195 21 6
196 26 0
197 73 0
198 79 2
199 82 4
200 7 10
201 20 0
202 87 4
203 1 12
204 19 1
205 22 1
206 43 10
207 4 2
208 7 2
209 10 3
210 58 2
211 62 0
212 13 3
213 23 0
214 25 10
215 83 0
216 84 6
217 90 0
218 91 6
219 4 3
220 7 3
221 96 1
222 55 0
223 56 8
224 61 7
225 73 8
226 19 12
227 26 8
228 36 5
229 61 6
230 78 5
231 11 6
232 63 0
233 64 10
234 72 11
235 83 5
236 88 9
237 1 4
238 6 0
239 94 0
240 41 5
241 51 7
242 61 3
243 72 13
244 41 6
245 64 3
246 67 15
247 82 13
248 88 12
249 47 0
250 51 6
251 56 14
252 74 0
253 94 9
254 100 9
255 106 1
256 16 8
257 25 12
258 109 1
259 1 7
260 19 0
261 25 9
262 43 9
263 1 10
264 7 9
265 13 1
266 73 6
267 78 0
268 1 2
269 5 0
270 14 0
271 72 4
272 79 1
273 82 1
274 85 1
275 4 0
276 6 4
277 88 0
278 1 5
279 7 0
280 10 1
281 43 0
282 1 3
283 10 0
284 13 9
285 57 0
286 58 1
287 15 0
288 16 4
289 21 4
290 82 0
291 83 2
292 86 2
293 1 1
294 4 1
295 89 0
296 59 0
297 60 11
298 66 13
299 73 7
300 28 3
301 45 0
302 46 8
303 57 9
304 78 11
305 7 11
306 13 12
307 19 10
308 72 2
309 84 0
310 85 10
311 91 5
312 1 6
313 7 1
314 96 0
315 11 0
316 16 0
317 21 5
318 72 0
319 11 7
320 19 11
321 26 5
322 82 9
323 91 0
324 1 11
325 16 1
326 27 0
327 72 3
328 92 0
329 93 11
330 25 15
331 31 9
332 99 4
