// The next line is the dfg name
jpeg_fdct_islow_dfg__6_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 3 3 5
SQRT 3 3 6
actual latency 81
0 7 8
1 13 2
2 16 3
3 1 1
4 4 1
5 8 0
6 21 3
7 1 8
8 10 0
9 11 3
10 5 0
11 10 2
12 13 7
13 19 2
14 1 6
15 7 0
16 9 0
17 1 5
18 7 7
19 13 1
20 16 0
21 1 4
22 11 0
23 14 0
24 17 0
25 25 8
26 31 4
27 36 3
28 10 1
29 13 6
30 19 1
31 6 5
32 11 5
33 19 8
34 25 0
35 13 0
36 15 0
37 25 7
38 16 2
39 21 5
40 26 2
41 31 7
42 1 0
43 4 0
44 7 2
45 6 4
46 11 4
47 19 7
48 25 6
49 6 3
50 16 1
51 21 4
52 3 0
53 4 2
54 12 0
55 26 1
56 32 0
57 31 0
58 31 8
59 31 6
60 37 2
61 43 7
62 49 1
63 22 2
64 37 8
65 52 3
66 37 4
67 42 4
68 49 7
69 13 8
70 19 6
71 55 0
72 37 0
73 38 5
74 37 7
75 47 4
76 52 1
77 55 8
78 16 5
79 26 5
80 61 3
81 37 1
82 43 6
83 49 0
84 50 5
85 2 0
86 16 4
87 55 1
88 31 3
89 41 1
90 41 2
91 38 0
92 55 6
93 61 0
94 29 1
95 37 6
96 41 3
97 26 4
98 43 0
99 44 0
100 49 8
101 43 5
102 62 1
103 62 4
104 46 3
105 65 5
106 70 8
107 76 0
108 1 2
109 7 6
110 77 0
111 45 1
112 67 1
113 70 0
114 71 2
115 22 1
116 26 3
117 74 1
118 49 6
119 65 7
120 71 1
121 74 0
122 1 3
123 6 0
124 75 0
125 55 7
126 67 6
127 73 3
128 78 1
129 1 7
130 7 1
131 81 0
132 43 8
133 61 6
