// The next line is the dfg name
matmul_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 2 2 3
DIV 2 2 5
SQRT 2 2 6
actual latency 39
0 1 2
1 4 0
2 7 2
3 13 6
4 1 0
5 7 6
6 13 0
7 14 0
8 1 4
9 6 0
10 7 0
11 10 2
12 7 1
13 8 1
14 21 4
15 26 0
16 3 1
17 4 1
18 13 2
19 19 2
20 9 0
21 10 0
22 12 1
23 16 5
24 22 0
25 9 1
26 10 1
27 15 1
28 19 6
29 25 5
30 1 3
31 6 1
32 13 7
33 28 2
34 31 0
35 16 1
36 25 7
37 33 1
38 34 0
39 1 1
40 6 4
41 11 0
42 19 0
43 2 0
44 3 0
45 5 1
46 15 0
47 25 6
48 2 1
49 5 0
50 7 7
51 14 1
52 31 2
53 16 0
54 17 0
55 28 3
56 32 1
57 34 4
58 25 2
59 30 5
60 35 1
61 39 0
62 1 6
63 11 4
64 16 2
65 19 1
66 1 5
67 10 3
68 13 1
69 16 3
70 22 2
71 17 1
72 18 1
73 20 1
74 21 0
75 25 0
76 6 5
77 11 1
78 12 0
79 31 6
80 37 0
81 4 2
82 13 3
83 19 3
84 38 0
85 8 0
86 22 3
87 26 4
88 31 1
89 19 7
90 25 1
91 26 1
92 27 0
93 32 0
94 1 7
95 7 3
96 11 5
97 16 4
98 33 0
99 4 3
100 25 3
101 28 0
102 29 0
103 34 1
104 20 0
105 21 1
106 22 1
107 35 0
108 18 0
