// The next line is the dfg name
matmul_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 3 3 5
SQRT 3 3 6
actual latency 78
0 6 5
1 15 0
2 21 3
3 31 8
4 11 0
5 19 7
6 26 4
7 32 0
8 1 7
9 9 0
10 19 1
11 22 5
12 12 0
13 22 1
14 37 8
15 43 1
16 4 2
17 11 3
18 16 3
19 37 3
20 1 0
21 2 0
22 4 0
23 37 6
24 43 0
25 1 2
26 7 2
27 13 1
28 31 6
29 44 8
30 1 4
31 7 1
32 13 7
33 46 3
34 51 0
35 1 3
36 7 6
37 13 0
38 52 0
39 19 2
40 25 8
41 31 1
42 38 0
43 13 2
44 16 1
45 20 0
46 34 1
47 43 6
48 10 0
49 16 5
50 25 7
51 31 0
52 49 4
53 5 0
54 6 0
55 11 4
56 46 0
57 54 8
58 6 4
59 13 8
60 19 0
61 60 1
62 37 7
63 43 7
64 49 6
65 55 4
66 1 8
67 11 5
68 16 0
69 33 4
70 60 3
71 10 2
72 14 0
73 16 2
74 27 2
75 65 1
76 19 8
77 25 1
78 28 1
79 49 7
80 68 3
81 21 4
82 27 5
83 32 3
84 73 6
85 1 5
86 6 3
87 13 6
88 37 0
89 1 6
90 7 0
91 10 1
92 33 2
93 38 1
94 7 7
95 16 4
96 25 6
97 31 7
98 41 0
99 7 8
100 19 6
101 26 3
102 46 1
103 49 1
104 3 0
105 4 1
106 8 0
107 52 3
108 1 1
