// The next line is the dfg name
random1_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 6 6 3
DIV 11 11 5
SQRT 12 12 6
actual latency 110
0 1 2
1 4 2
2 7 2
3 10 2
4 10 1
5 10 0
6 11 21
7 17 0
8 13 0
9 14 24
10 20 13
11 20 3
12 23 22
13 23 21
14 30 2
15 32 1
16 29 0
17 31 1
18 11 0
19 11 4
20 11 1
21 11 22
22 43 18
23 29 21
24 32 14
25 29 9
26 32 8
27 32 10
28 52 5
29 14 9
30 14 4
31 14 25
32 14 26
33 14 2
34 14 27
35 14 3
36 14 28
37 39 9
38 85 0
39 50 0
40 17 10
41 86 27
42 86 0
43 87 0
44 86 5
45 86 28
46 86 26
47 86 1
48 86 25
49 11 3
50 25 3
51 25 4
52 25 0
53 25 5
54 51 13
55 48 1
56 34 9
57 34 26
58 37 12
59 36 13
60 41 1
61 36 6
62 47 11
63 51 7
64 45 6
65 52 27
66 53 16
67 17 29
68 17 21
69 17 30
70 17 2
71 17 1
72 17 11
73 17 3
74 37 5
75 38 0
76 42 8
77 42 30
78 47 10
79 42 2
80 42 29
81 42 10
82 42 11
83 42 20
84 48 2
85 19 0
86 57 8
87 54 29
88 92 15
89 92 0
90 50 1
91 92 27
92 20 2
93 37 14
94 38 1
95 18 4
96 60 6
97 49 17
98 62 1
99 57 24
100 57 11
101 57 6
102 58 4
103 57 12
104 52 1
105 48 6
106 18 1
107 39 24
108 33 6
109 41 13
110 35 30
111 42 12
112 33 7
113 32 0
114 47 1
115 43 1
116 33 24
117 92 2
118 61 13
119 23 16
120 23 17
121 23 0
122 23 28
123 23 1
124 23 18
125 23 30
126 60 28
127 64 0
128 63 6
129 63 14
130 64 26
131 51 24
132 52 12
133 80 1
134 58 16
135 51 0
136 52 14
137 51 2
138 51 1
139 51 25
140 52 8
141 24 0
142 25 19
143 24 1
144 61 0
145 81 20
146 39 2
147 63 15
148 18 0
149 24 20
150 81 0
151 86 29
152 63 24
153 52 26
154 61 5
155 19 19
156 92 28
157 45 25
158 45 2
159 45 0
160 45 1
161 48 29
162 63 12
163 42 6
164 42 7
165 41 0
166 19 23
167 19 9
168 66 5
169 67 8
170 66 13
171 67 10
172 67 11
173 79 0
174 66 6
175 66 1
176 66 7
177 71 0
178 71 1
179 72 0
180 72 1
181 74 1
182 72 2
183 33 17
184 94 30
185 88 10
186 95 21
187 68 12
188 69 2
189 68 14
190 68 15
191 57 1
192 39 7
193 39 0
194 54 9
195 54 0
196 54 28
197 54 1
198 54 2
199 56 0
200 56 1
201 80 3
202 1 19
203 7 8
204 12 8
205 12 0
206 17 22
207 23 29
208 23 15
209 29 28
210 47 14
211 32 11
212 63 7
213 46 13
214 29 1
215 82 1
216 29 22
217 37 23
218 40 3
219 52 3
220 47 8
221 84 1
222 39 1
223 42 1
224 51 6
225 17 8
226 57 2
227 56 13
228 59 0
229 59 1
230 57 14
231 51 30
232 65 0
233 22 27
234 22 6
235 22 10
236 22 11
237 22 12
238 22 0
239 22 26
240 22 14
241 22 8
242 30 1
243 28 3
244 28 5
245 60 20
246 68 1
247 66 28
248 79 1
249 72 5
250 69 1
251 66 2
252 77 1
253 86 6
254 78 5
255 81 10
256 29 29
257 29 30
258 27 0
259 28 26
260 27 1
261 27 8
262 30 7
263 28 0
264 27 10
265 30 20
266 64 3
267 28 1
268 30 0
269 27 11
270 89 23
271 89 4
272 89 12
273 89 11
274 92 25
275 89 21
276 92 26
277 89 13
278 24 9
279 95 13
280 95 2
281 31 5
282 44 9
283 38 16
284 34 27
285 34 0
286 43 0
287 34 1
288 34 3
289 37 8
290 94 8
291 94 10
292 94 11
293 94 22
294 94 19
295 94 4
296 69 0
297 99 0
298 99 8
299 99 9
300 70 4
301 72 10
302 44 0
303 44 1
304 45 24
305 17 12
306 80 4
307 99 2
308 62 29
309 62 10
310 65 21
311 65 22
312 62 11
313 62 8
314 66 20
315 62 0
316 30 6
317 27 2
318 57 10
319 81 1
320 58 5
321 54 6
322 58 27
323 60 7
324 54 7
325 40 0
326 58 15
327 53 1
328 57 30
329 57 0
330 58 26
331 43 23
332 43 15
333 63 2
334 63 0
335 63 16
336 63 17
337 63 1
338 63 25
339 63 30
340 77 21
341 97 23
342 100 11
343 100 0
344 100 3
345 80 8
346 95 12
347 95 5
348 83 12
349 83 4
350 83 3
351 83 5
352 83 21
353 27 12
354 82 22
355 92 29
356 89 0
357 88 9
358 89 1
359 36 7
360 35 21
