// The next line is the dfg name
smooth_color_z_triangle_dfg__31_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 4 4 5
SQRT 4 4 6
actual latency 105
0 26 5
1 31 0
2 34 2
3 40 2
4 43 3
5 49 2
6 52 1
7 55 7
8 37 10
9 21 4
10 40 1
11 43 9
12 49 1
13 52 6
14 58 1
15 66 2
16 69 2
17 33 0
18 32 0
19 25 10
20 43 1
21 46 0
22 48 0
23 55 9
24 49 10
25 49 9
26 43 2
27 47 0
28 55 8
29 61 3
30 66 3
31 71 8
32 77 8
33 26 6
34 55 10
35 75 7
36 21 0
37 34 0
38 83 7
39 89 7
40 95 3
41 100 7
42 7 10
43 13 9
44 83 1
45 12 0
46 13 2
47 72 3
48 86 1
49 89 1
50 28 1
51 6 6
52 6 5
53 16 2
54 19 0
55 31 5
56 36 3
57 3 0
58 4 2
59 6 4
60 13 7
61 21 3
62 26 0
63 27 0
64 43 7
65 49 3
66 1 9
67 1 5
68 1 6
69 6 3
70 13 1
71 16 0
72 19 7
73 13 0
74 19 2
75 7 2
76 10 2
77 25 7
78 31 7
79 37 1
80 40 5
81 45 0
82 11 0
83 16 4
84 54 3
85 1 4
86 10 0
87 49 7
88 59 0
89 60 2
90 63 2
91 1 10
92 11 4
93 46 1
94 7 7
95 16 3
96 54 2
97 57 2
98 60 0
99 4 1
100 1 0
101 1 7
102 9 0
103 11 3
104 16 1
105 19 1
106 1 3
107 1 2
108 1 1
109 4 0
110 5 0
111 6 0
112 7 0
113 22 0
114 23 0
115 15 0
116 17 0
117 22 1
118 25 1
119 31 3
120 37 2
121 40 6
122 19 8
123 21 5
124 26 4
125 31 10
126 37 9
127 43 8
128 49 4
129 55 1
130 58 4
131 7 1
132 11 5
133 24 0
134 2 0
135 14 0
136 64 1
137 67 6
138 72 9
139 78 0
140 31 2
141 36 4
142 63 4
143 19 10
144 26 3
145 31 4
146 68 0
147 69 7
148 21 6
149 18 0
150 11 6
151 25 2
152 28 0
153 31 9
154 37 8
155 10 1
156 7 9
157 16 6
158 25 9
159 31 8
160 37 7
161 43 0
162 44 0
163 49 8
164 43 10
165 30 0
166 19 9
167 25 0
168 31 6
169 49 5
170 61 1
171 28 2
172 16 5
173 20 0
174 25 8
175 31 1
176 34 1
177 37 0
178 64 5
179 69 1
180 7 8
181 13 8
182 55 0
183 1 8
184 8 0
185 72 0
186 73 4
187 79 0
188 80 3
189 29 0
190 46 2
191 72 10
192 13 10
193 22 2
194 56 0
195 78 9
196 84 4
