// The next line is the dfg name
write_bmp_header_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 4 4 5
SQRT 5 5 6
actual latency 59
0 6 3
1 12 0
2 1 9
3 13 2
4 6 4
5 11 3
6 18 0
7 21 3
8 1 1
9 4 0
10 7 9
11 16 6
12 26 4
13 7 11
14 31 3
15 26 3
16 31 1
17 1 8
18 34 0
19 29 0
20 30 5
21 1 6
22 37 1
23 26 0
24 27 0
25 1 7
26 28 0
27 16 4
28 1 11
29 25 2
30 13 7
31 19 0
32 4 1
33 22 2
34 13 0
35 16 3
36 1 2
37 21 0
38 14 0
39 17 0
40 8 0
41 18 11
42 7 10
43 21 5
44 1 0
45 2 0
46 34 1
47 37 7
48 43 4
49 9 0
50 48 9
51 7 8
52 16 5
53 28 1
54 31 7
55 1 5
56 37 2
57 1 3
58 10 1
59 13 1
60 16 0
61 3 0
62 21 4
63 6 6
64 13 8
65 19 1
66 28 2
67 10 0
68 31 8
69 10 2
70 15 0
71 16 2
72 6 0
73 19 7
74 20 0
75 31 2
76 34 9
77 40 3
78 11 5
79 45 7
80 6 5
81 11 4
82 16 9
83 22 1
84 7 7
85 25 1
86 34 2
87 37 8
88 43 5
89 48 8
90 11 0
91 54 7
92 1 10
93 7 1
94 1 4
95 7 2
96 5 0
97 19 2
98 22 9
99 4 2
100 7 0
101 16 1
102 21 6
103 11 6
104 16 10
105 22 8
