// The next line is the dfg name
collapse_pyr_dfg__113_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 2 2 3
DIV 2 2 5
SQRT 2 2 6
actual latency 23
0 1 1
1 2 5
2 10 2
3 14 0
4 17 0
5 1 0
6 2 1
7 3 0
8 5 1
9 13 2
10 16 0
11 17 1
12 1 6
13 7 0
14 8 0
15 9 3
16 12 5
17 17 5
18 1 2
19 4 0
20 6 4
21 11 4
22 16 1
23 19 1
24 2 0
25 4 2
26 7 1
27 8 1
28 13 6
29 19 2
30 22 0
31 4 1
32 5 0
33 7 6
34 13 1
35 14 1
36 15 1
37 1 4
38 6 7
39 12 0
40 13 0
41 3 1
42 15 3
43 18 1
44 6 0
45 7 2
46 10 0
47 12 3
48 15 0
49 16 4
50 6 3
51 12 7
52 18 0
53 19 0
54 20 3
55 23 0
