// The next line is the dfg name
feedback_points_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 2 2 5
SQRT 3 3 6
actual latency 41
0 1 4
1 1 1
2 4 0
3 5 0
4 7 5
5 13 5
6 21 3
7 6 0
8 1 3
9 1 5
10 7 2
11 11 3
12 19 5
13 26 1
14 1 0
15 2 0
16 29 0
17 3 0
18 1 6
19 1 2
20 7 1
21 10 0
22 13 6
23 26 2
24 11 4
25 16 4
26 30 0
27 7 6
28 6 3
29 4 1
30 13 7
31 19 6
32 25 4
33 31 0
34 4 2
35 19 7
36 32 0
37 7 0
38 6 4
39 1 7
40 11 2
41 14 1
42 17 1
43 10 1
44 25 6
45 31 4
46 25 5
47 31 3
48 36 3
49 7 7
50 16 3
51 21 1
52 41 0
