// The next line is the dfg name
h2v2_smooth_downsample_dfg__6_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 2 2 6
actual latency 65
0 16 2
1 6 2
2 21 2
3 26 4
4 10 1
5 32 4
6 36 2
7 41 0
8 42 1
9 1 0
10 1 3
11 11 2
12 16 1
13 1 4
14 19 1
15 1 1
16 7 3
17 25 3
18 1 2
19 7 4
20 31 3
21 4 1
22 7 0
23 37 3
24 7 1
25 31 2
26 46 2
27 19 3
28 28 1
29 51 1
30 54 1
31 13 3
32 22 1
33 2 0
34 3 0
35 26 2
36 13 4
37 25 1
38 41 2
39 4 0
40 19 4
41 51 2
42 57 1
43 56 2
44 60 0
45 61 0
46 62 0
47 63 0
48 64 0
49 5 0
50 61 2
