// The next line is the dfg name
idctcol_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 67
0 1 0
1 6 2
2 13 4
3 19 0
4 20 1
5 3 0
6 4 0
7 5 0
8 1 2
9 15 0
10 17 0
11 8 0
12 9 0
13 11 0
14 7 1
15 10 0
16 13 1
17 12 0
18 16 0
19 17 3
20 6 0
21 16 1
22 20 0
23 23 2
24 24 0
25 1 1
26 4 1
27 7 0
28 13 0
29 14 2
30 19 4
31 2 0
32 8 5
33 14 0
34 23 1
35 22 0
36 25 4
37 21 0
38 28 2
39 29 1
40 26 0
41 25 0
42 23 0
43 26 1
44 31 4
45 37 0
46 25 5
47 31 0
48 32 0
49 35 1
50 35 0
51 36 0
52 43 0
53 46 0
54 50 0
55 10 1
56 28 0
57 62 1
58 38 0
59 39 3
60 51 0
61 53 0
62 54 0
63 1 4
64 55 0
65 62 0
66 39 0
67 44 1
68 47 0
69 50 1
70 56 0
71 29 0
72 57 0
73 63 0
74 32 3
75 37 2
76 42 2
77 47 1
78 58 0
79 1 3
80 7 4
81 64 0
82 33 0
83 34 0
84 37 4
85 48 0
86 56 1
87 27 0
88 32 1
89 65 0
90 38 1
91 41 0
92 44 3
93 53 1
94 59 0
95 30 0
96 60 0
97 66 0
98 40 0
99 42 0
100 45 0
101 49 0
102 59 1
103 1 5
104 61 0
105 67 0
106 33 5
107 41 1
108 44 0
109 47 2
110 52 0
111 18 0
112 19 5
113 65 1
