// The next line is the dfg name
idctcol_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 96
0 1 0
1 7 4
2 13 4
3 19 0
4 21 2
5 1 1
6 4 0
7 10 1
8 1 5
9 16 1
10 20 0
11 13 1
12 19 1
13 22 1
14 1 2
15 7 1
16 11 2
17 1 3
18 16 2
19 25 4
20 4 1
21 16 3
22 25 1
23 31 4
24 26 0
25 1 4
26 11 3
27 16 0
28 6 2
29 19 5
30 25 5
31 2 0
32 19 4
33 26 2
34 31 3
35 31 2
36 31 5
37 28 1
38 37 4
39 41 2
40 31 1
41 31 0
42 36 2
43 41 3
44 49 5
45 55 1
46 37 5
47 43 0
48 46 1
49 52 3
50 43 1
51 46 0
52 47 3
53 52 1
54 55 0
55 26 3
56 37 1
57 85 4
58 58 3
59 73 5
60 79 0
61 85 1
62 88 0
63 13 5
64 40 1
65 89 0
66 57 0
67 73 4
68 79 1
69 82 1
70 91 1
71 6 3
72 11 0
73 94 0
74 49 4
75 55 4
76 67 5
77 75 2
78 80 0
79 43 5
80 79 5
81 94 1
82 46 2
83 51 2
84 61 4
85 67 1
86 70 2
87 3 0
88 36 3
89 78 3
90 61 5
91 70 1
92 79 4
93 88 1
94 91 0
95 5 0
96 21 3
97 92 0
98 58 0
99 59 1
100 62 0
101 63 0
102 64 1
103 7 5
104 13 0
105 67 0
106 43 4
107 56 2
108 61 0
109 67 4
110 73 3
111 34 1
112 55 5
113 80 2
